"ProductModelID";"ProductDescriptionID";"CultureID";"ModifiedDate"
9;1571;"fr    ";01/06/2003 00:00:00
9;1694;"th    ";01/06/2003 00:00:00
9;1825;"he    ";01/06/2003 00:00:00
9;1946;"zh-cht";01/06/2003 00:00:00
10;1146;"en    ";01/06/2003 00:00:00
10;1452;"ar    ";01/06/2003 00:00:00
10;1574;"fr    ";01/06/2003 00:00:00
10;1697;"th    ";01/06/2003 00:00:00
10;1828;"he    ";01/06/2003 00:00:00
10;1949;"zh-cht";01/06/2003 00:00:00
11;1211;"en    ";01/06/2003 00:00:00
11;1477;"ar    ";01/06/2003 00:00:00
11;1599;"fr    ";01/06/2003 00:00:00
11;1722;"th    ";01/06/2003 00:00:00
11;1848;"he    ";01/06/2003 00:00:00
11;1975;"zh-cht";01/06/2003 00:00:00
12;1192;"en    ";01/06/2003 00:00:00
12;1461;"ar    ";01/06/2003 00:00:00
12;1583;"fr    ";01/06/2003 00:00:00
12;1706;"th    ";01/06/2003 00:00:00
12;1832;"he    ";01/06/2003 00:00:00
12;1958;"zh-cht";01/06/2003 00:00:00
13;1200;"en    ";01/06/2003 00:00:00
13;1468;"ar    ";01/06/2003 00:00:00
13;1590;"fr    ";01/06/2003 00:00:00
13;1713;"th    ";01/06/2003 00:00:00
13;1839;"he    ";01/06/2003 00:00:00
13;1966;"zh-cht";01/06/2003 00:00:00
14;644;"en    ";01/06/2003 00:00:00
14;1399;"ar    ";01/06/2003 00:00:00
14;1516;"fr    ";01/06/2003 00:00:00
14;1638;"th    ";01/06/2003 00:00:00
14;1761;"he    ";01/06/2003 00:00:00
14;1888;"zh-cht";01/06/2003 00:00:00
15;642;"en    ";01/06/2003 00:00:00
15;1398;"ar    ";01/06/2003 00:00:00
15;1515;"fr    ";01/06/2003 00:00:00
15;1637;"th    ";01/06/2003 00:00:00
15;1760;"he    ";01/06/2003 00:00:00
15;1887;"zh-cht";01/06/2003 00:00:00
16;1062;"en    ";01/06/2003 00:00:00
16;1450;"ar    ";01/06/2003 00:00:00
16;1572;"fr    ";01/06/2003 00:00:00
16;1695;"th    ";01/06/2003 00:00:00
16;1826;"he    ";01/06/2003 00:00:00
16;1947;"zh-cht";01/06/2003 00:00:00
17;661;"en    ";01/06/2003 00:00:00
17;1401;"ar    ";01/06/2003 00:00:00
17;1517;"fr    ";01/06/2003 00:00:00
17;1640;"th    ";01/06/2003 00:00:00
17;1770;"he    ";01/06/2003 00:00:00
17;1890;"zh-cht";01/06/2003 00:00:00
18;1189;"en    ";01/06/2003 00:00:00
18;1459;"ar    ";01/06/2003 00:00:00
18;1581;"fr    ";01/06/2003 00:00:00
18;1704;"th    ";01/06/2003 00:00:00
18;1830;"he    ";01/06/2003 00:00:00
18;1956;"zh-cht";01/06/2003 00:00:00
19;168;"en    ";01/06/2003 00:00:00
19;1367;"ar    ";01/06/2003 00:00:00
19;1491;"fr    ";01/06/2003 00:00:00
19;1613;"th    ";01/06/2003 00:00:00
19;1735;"he    ";01/06/2003 00:00:00
19;1862;"zh-cht";01/06/2003 00:00:00
20;128;"en    ";01/06/2003 00:00:00
20;1366;"ar    ";01/06/2003 00:00:00
20;1490;"fr    ";01/06/2003 00:00:00
20;1612;"th    ";01/06/2003 00:00:00
20;1734;"he    ";01/06/2003 00:00:00
20;1861;"zh-cht";01/06/2003 00:00:00
21;88;"en    ";01/06/2003 00:00:00
21;1365;"ar    ";01/06/2003 00:00:00
21;1489;"fr    ";01/06/2003 00:00:00
21;1611;"th    ";01/06/2003 00:00:00
21;1733;"he    ";01/06/2003 00:00:00
21;1860;"zh-cht";01/06/2003 00:00:00
22;64;"en    ";01/06/2003 00:00:00
22;1364;"ar    ";01/06/2003 00:00:00
22;1488;"fr    ";01/06/2003 00:00:00
22;1610;"th    ";01/06/2003 00:00:00
22;1732;"he    ";01/06/2003 00:00:00
22;1859;"zh-cht";01/06/2003 00:00:00
23;8;"en    ";01/06/2003 00:00:00
23;1363;"ar    ";01/06/2003 00:00:00
23;1487;"fr    ";01/06/2003 00:00:00
23;1609;"th    ";01/06/2003 00:00:00
23;1731;"he    ";01/06/2003 00:00:00
23;1858;"zh-cht";01/06/2003 00:00:00
24;1208;"en    ";01/06/2003 00:00:00
24;1474;"ar    ";01/06/2003 00:00:00
24;1596;"fr    ";01/06/2003 00:00:00
24;1719;"th    ";01/06/2003 00:00:00
24;1845;"he    ";01/06/2003 00:00:00
24;1972;"zh-cht";01/06/2003 00:00:00
25;457;"en    ";01/06/2003 00:00:00
25;1377;"ar    ";01/06/2003 00:00:00
25;1501;"fr    ";01/06/2003 00:00:00
25;1623;"th    ";01/06/2003 00:00:00
25;1745;"he    ";01/06/2003 00:00:00
25;1872;"zh-cht";01/06/2003 00:00:00
26;409;"en    ";01/06/2003 00:00:00
26;1376;"ar    ";01/06/2003 00:00:00
26;1500;"fr    ";01/06/2003 00:00:00
26;1622;"th    ";01/06/2003 00:00:00
26;1744;"he    ";01/06/2003 00:00:00
26;1871;"zh-cht";01/06/2003 00:00:00
27;376;"en    ";01/06/2003 00:00:00
27;1375;"ar    ";01/06/2003 00:00:00
27;1499;"fr    ";01/06/2003 00:00:00
27;1621;"th    ";01/06/2003 00:00:00
27;1743;"he    ";01/06/2003 00:00:00
27;1870;"zh-cht";01/06/2003 00:00:00
28;337;"en    ";01/06/2003 00:00:00
28;1373;"ar    ";01/06/2003 00:00:00
28;1497;"fr    ";01/06/2003 00:00:00
28;1619;"th    ";01/06/2003 00:00:00
28;1741;"he    ";01/06/2003 00:00:00
28;1868;"zh-cht";01/06/2003 00:00:00
29;320;"en    ";01/06/2003 00:00:00
29;1371;"ar    ";01/06/2003 00:00:00
29;1495;"fr    ";01/06/2003 00:00:00
29;1617;"th    ";01/06/2003 00:00:00
29;1739;"he    ";01/06/2003 00:00:00
29;1866;"zh-cht";01/06/2003 00:00:00
30;249;"en    ";01/06/2003 00:00:00
30;1370;"ar    ";01/06/2003 00:00:00
30;1494;"fr    ";01/06/2003 00:00:00
30;1616;"th    ";01/06/2003 00:00:00
30;1738;"he    ";01/06/2003 00:00:00
30;1865;"zh-cht";01/06/2003 00:00:00
31;209;"en    ";01/06/2003 00:00:00
31;1369;"ar    ";01/06/2003 00:00:00
31;1493;"fr    ";01/06/2003 00:00:00
31;1615;"th    ";01/06/2003 00:00:00
31;1737;"he    ";01/06/2003 00:00:00
31;1864;"zh-cht";01/06/2003 00:00:00
32;1205;"en    ";01/06/2003 00:00:00
32;1472;"ar    ";01/06/2003 00:00:00
32;1594;"fr    ";01/06/2003 00:00:00
32;1717;"th    ";01/06/2003 00:00:00
32;1843;"he    ";01/06/2003 00:00:00
32;1970;"zh-cht";01/06/2003 00:00:00
33;1212;"en    ";01/06/2003 00:00:00
33;1478;"ar    ";01/06/2003 00:00:00
33;1600;"fr    ";01/06/2003 00:00:00
33;1723;"th    ";01/06/2003 00:00:00
33;1850;"he    ";01/06/2003 00:00:00
33;1976;"zh-cht";01/06/2003 00:00:00
34;594;"en    ";01/06/2003 00:00:00
34;1387;"ar    ";01/06/2003 00:00:00
34;1504;"fr    ";01/06/2003 00:00:00
34;1626;"th    ";01/06/2003 00:00:00
34;1749;"he    ";01/06/2003 00:00:00
34;1875;"zh-cht";01/06/2003 00:00:00
35;554;"en    ";01/06/2003 00:00:00
35;1379;"ar    ";01/06/2003 00:00:00
35;1503;"fr    ";01/06/2003 00:00:00
35;1625;"th    ";01/06/2003 00:00:00
35;1748;"he    ";01/06/2003 00:00:00
35;1874;"zh-cht";01/06/2003 00:00:00
36;513;"en    ";01/06/2003 00:00:00
36;1378;"ar    ";01/06/2003 00:00:00
36;1502;"fr    ";01/06/2003 00:00:00
36;1624;"th    ";01/06/2003 00:00:00
36;1747;"he    ";01/06/2003 00:00:00
36;1873;"zh-cht";01/06/2003 00:00:00
37;1196;"en    ";01/06/2003 00:00:00
37;1465;"ar    ";01/06/2003 00:00:00
37;1587;"fr    ";01/06/2003 00:00:00
37;1710;"th    ";01/06/2003 00:00:00
37;1836;"he    ";01/06/2003 00:00:00
37;1963;"zh-cht";01/06/2003 00:00:00
38;1214;"en    ";01/06/2003 00:00:00
38;1480;"ar    ";01/06/2003 00:00:00
38;1602;"fr    ";01/06/2003 00:00:00
38;1725;"th    ";01/06/2003 00:00:00
38;1852;"he    ";01/06/2003 00:00:00
38;1978;"zh-cht";01/06/2003 00:00:00
39;170;"en    ";01/06/2003 00:00:00
39;1368;"ar    ";01/06/2003 00:00:00
39;1492;"fr    ";01/06/2003 00:00:00
39;1614;"th    ";01/06/2003 00:00:00
39;1736;"he    ";01/06/2003 00:00:00
39;1863;"zh-cht";01/06/2003 00:00:00
40;321;"en    ";01/06/2003 00:00:00
40;1372;"ar    ";01/06/2003 00:00:00
40;1496;"fr    ";01/06/2003 00:00:00
40;1618;"th    ";01/06/2003 00:00:00
40;1740;"he    ";01/06/2003 00:00:00
40;1867;"zh-cht";01/06/2003 00:00:00
41;375;"en    ";01/06/2003 00:00:00
41;1374;"ar    ";01/06/2003 00:00:00
41;1498;"fr    ";01/06/2003 00:00:00
41;1620;"th    ";01/06/2003 00:00:00
41;1742;"he    ";01/06/2003 00:00:00
41;1869;"zh-cht";01/06/2003 00:00:00
42;686;"en    ";01/06/2003 00:00:00
42;1402;"ar    ";01/06/2003 00:00:00
42;1518;"fr    ";01/06/2003 00:00:00
42;1641;"th    ";01/06/2003 00:00:00
42;1771;"he    ";01/06/2003 00:00:00
42;1891;"zh-cht";01/06/2003 00:00:00
43;873;"en    ";01/06/2003 00:00:00
43;1385;"ar    ";01/06/2003 00:00:00
43;1551;"fr    ";01/06/2003 00:00:00
43;1674;"th    ";01/06/2003 00:00:00
43;1805;"he    ";01/06/2003 00:00:00
43;1926;"zh-cht";01/06/2003 00:00:00
44;692;"en    ";01/06/2003 00:00:00
44;1408;"ar    ";01/06/2003 00:00:00
44;1524;"fr    ";01/06/2003 00:00:00
44;1647;"th    ";01/06/2003 00:00:00
44;1777;"he    ";01/06/2003 00:00:00
44;1897;"zh-cht";01/06/2003 00:00:00
45;687;"en    ";01/06/2003 00:00:00
45;1403;"ar    ";01/06/2003 00:00:00
45;1519;"fr    ";01/06/2003 00:00:00
45;1642;"th    ";01/06/2003 00:00:00
45;1772;"he    ";01/06/2003 00:00:00
45;1892;"zh-cht";01/06/2003 00:00:00
46;688;"en    ";01/06/2003 00:00:00
46;1404;"ar    ";01/06/2003 00:00:00
46;1520;"fr    ";01/06/2003 00:00:00
46;1643;"th    ";01/06/2003 00:00:00
46;1773;"he    ";01/06/2003 00:00:00
46;1893;"zh-cht";01/06/2003 00:00:00
47;703;"en    ";01/06/2003 00:00:00
47;1415;"ar    ";01/06/2003 00:00:00
47;1531;"fr    ";01/06/2003 00:00:00
47;1654;"th    ";01/06/2003 00:00:00
47;1784;"he    ";01/06/2003 00:00:00
47;1905;"zh-cht";01/06/2003 00:00:00
48;704;"en    ";01/06/2003 00:00:00
48;1416;"ar    ";01/06/2003 00:00:00
48;1532;"fr    ";01/06/2003 00:00:00
48;1655;"th    ";01/06/2003 00:00:00
48;1785;"he    ";01/06/2003 00:00:00
48;1906;"zh-cht";01/06/2003 00:00:00
49;689;"en    ";01/06/2003 00:00:00
49;1405;"ar    ";01/06/2003 00:00:00
49;1521;"fr    ";01/06/2003 00:00:00
49;1644;"th    ";01/06/2003 00:00:00
49;1774;"he    ";01/06/2003 00:00:00
49;1894;"zh-cht";01/06/2003 00:00:00
50;690;"en    ";01/06/2003 00:00:00
50;1406;"ar    ";01/06/2003 00:00:00
50;1522;"fr    ";01/06/2003 00:00:00
50;1645;"th    ";01/06/2003 00:00:00
50;1775;"he    ";01/06/2003 00:00:00
50;1895;"zh-cht";01/06/2003 00:00:00
51;691;"en    ";01/06/2003 00:00:00
51;1407;"ar    ";01/06/2003 00:00:00
51;1523;"fr    ";01/06/2003 00:00:00
51;1646;"th    ";01/06/2003 00:00:00
51;1776;"he    ";01/06/2003 00:00:00
51;1896;"zh-cht";01/06/2003 00:00:00
52;697;"en    ";01/06/2003 00:00:00
52;1409;"ar    ";01/06/2003 00:00:00
52;1525;"fr    ";01/06/2003 00:00:00
52;1648;"th    ";01/06/2003 00:00:00
52;1778;"he    ";01/06/2003 00:00:00
52;1898;"zh-cht";01/06/2003 00:00:00
53;853;"en    ";01/06/2003 00:00:00
53;1426;"ar    ";01/06/2003 00:00:00
53;1542;"fr    ";01/06/2003 00:00:00
53;1665;"th    ";01/06/2003 00:00:00
53;1795;"he    ";01/06/2003 00:00:00
53;1916;"zh-cht";01/06/2003 00:00:00
54;698;"en    ";01/06/2003 00:00:00
54;1410;"ar    ";01/06/2003 00:00:00
54;1526;"fr    ";01/06/2003 00:00:00
54;1649;"th    ";01/06/2003 00:00:00
54;1779;"he    ";01/06/2003 00:00:00
54;1899;"zh-cht";01/06/2003 00:00:00
55;699;"en    ";01/06/2003 00:00:00
55;1411;"ar    ";01/06/2003 00:00:00
55;1527;"fr    ";01/06/2003 00:00:00
55;1650;"th    ";01/06/2003 00:00:00
55;1780;"he    ";01/06/2003 00:00:00
55;1900;"zh-cht";01/06/2003 00:00:00
56;700;"en    ";01/06/2003 00:00:00
56;1412;"ar    ";01/06/2003 00:00:00
56;1528;"fr    ";01/06/2003 00:00:00
56;1651;"th    ";01/06/2003 00:00:00
56;1781;"he    ";01/06/2003 00:00:00
56;1901;"zh-cht";01/06/2003 00:00:00
57;701;"en    ";01/06/2003 00:00:00
57;1413;"ar    ";01/06/2003 00:00:00
57;1529;"fr    ";01/06/2003 00:00:00
57;1652;"th    ";01/06/2003 00:00:00
57;1782;"he    ";01/06/2003 00:00:00
57;1903;"zh-cht";01/06/2003 00:00:00
58;702;"en    ";01/06/2003 00:00:00
58;1414;"ar    ";01/06/2003 00:00:00
58;1530;"fr    ";01/06/2003 00:00:00
58;1653;"th    ";01/06/2003 00:00:00
58;1783;"he    ";01/06/2003 00:00:00
58;1904;"zh-cht";01/06/2003 00:00:00
59;744;"en    ";01/06/2003 00:00:00
59;1417;"ar    ";01/06/2003 00:00:00
59;1533;"fr    ";01/06/2003 00:00:00
59;1656;"th    ";01/06/2003 00:00:00
59;1786;"he    ";01/06/2003 00:00:00
59;1907;"zh-cht";01/06/2003 00:00:00
60;745;"en    ";01/06/2003 00:00:00
60;1418;"ar    ";01/06/2003 00:00:00
60;1534;"fr    ";01/06/2003 00:00:00
60;1657;"th    ";01/06/2003 00:00:00
60;1787;"he    ";01/06/2003 00:00:00
60;1908;"zh-cht";01/06/2003 00:00:00
61;746;"en    ";01/06/2003 00:00:00
61;1419;"ar    ";01/06/2003 00:00:00
61;1535;"fr    ";01/06/2003 00:00:00
61;1658;"th    ";01/06/2003 00:00:00
61;1788;"he    ";01/06/2003 00:00:00
61;1909;"zh-cht";01/06/2003 00:00:00
62;847;"en    ";01/06/2003 00:00:00
62;1420;"ar    ";01/06/2003 00:00:00
62;1536;"fr    ";01/06/2003 00:00:00
62;1659;"th    ";01/06/2003 00:00:00
62;1789;"he    ";01/06/2003 00:00:00
62;1910;"zh-cht";01/06/2003 00:00:00
63;848;"en    ";01/06/2003 00:00:00
63;1421;"ar    ";01/06/2003 00:00:00
63;1537;"fr    ";01/06/2003 00:00:00
63;1660;"th    ";01/06/2003 00:00:00
63;1790;"he    ";01/06/2003 00:00:00
63;1911;"zh-cht";01/06/2003 00:00:00
64;849;"en    ";01/06/2003 00:00:00
64;1422;"ar    ";01/06/2003 00:00:00
64;1538;"fr    ";01/06/2003 00:00:00
64;1661;"th    ";01/06/2003 00:00:00
64;1791;"he    ";01/06/2003 00:00:00
64;1912;"zh-cht";01/06/2003 00:00:00
65;892;"en    ";01/06/2003 00:00:00
65;1437;"ar    ";01/06/2003 00:00:00
65;1559;"fr    ";01/06/2003 00:00:00
65;1682;"th    ";01/06/2003 00:00:00
65;1813;"he    ";01/06/2003 00:00:00
65;1934;"zh-cht";01/06/2003 00:00:00
66;891;"en    ";01/06/2003 00:00:00
66;1436;"ar    ";01/06/2003 00:00:00
66;1558;"fr    ";01/06/2003 00:00:00
66;1681;"th    ";01/06/2003 00:00:00
66;1812;"he    ";01/06/2003 00:00:00
66;1933;"zh-cht";01/06/2003 00:00:00
67;893;"en    ";01/06/2003 00:00:00
67;1438;"ar    ";01/06/2003 00:00:00
67;1560;"fr    ";01/06/2003 00:00:00
67;1683;"th    ";01/06/2003 00:00:00
67;1814;"he    ";01/06/2003 00:00:00
67;1935;"zh-cht";01/06/2003 00:00:00
68;850;"en    ";01/06/2003 00:00:00
68;1423;"ar    ";01/06/2003 00:00:00
68;1539;"fr    ";01/06/2003 00:00:00
68;1662;"th    ";01/06/2003 00:00:00
68;1792;"he    ";01/06/2003 00:00:00
68;1913;"zh-cht";01/06/2003 00:00:00
69;851;"en    ";01/06/2003 00:00:00
69;1424;"ar    ";01/06/2003 00:00:00
69;1540;"fr    ";01/06/2003 00:00:00
69;1663;"th    ";01/06/2003 00:00:00
69;1793;"he    ";01/06/2003 00:00:00
69;1914;"zh-cht";01/06/2003 00:00:00
70;852;"en    ";01/06/2003 00:00:00
70;1425;"ar    ";01/06/2003 00:00:00
70;1541;"fr    ";01/06/2003 00:00:00
70;1664;"th    ";01/06/2003 00:00:00
70;1794;"he    ";01/06/2003 00:00:00
70;1915;"zh-cht";01/06/2003 00:00:00
71;856;"en    ";01/06/2003 00:00:00
71;1427;"ar    ";01/06/2003 00:00:00
71;1543;"fr    ";01/06/2003 00:00:00
71;1666;"th    ";01/06/2003 00:00:00
71;1796;"he    ";01/06/2003 00:00:00
71;1918;"zh-cht";01/06/2003 00:00:00
72;858;"en    ";01/06/2003 00:00:00
72;1429;"ar    ";01/06/2003 00:00:00
72;1544;"fr    ";01/06/2003 00:00:00
72;1667;"th    ";01/06/2003 00:00:00
72;1797;"he    ";01/06/2003 00:00:00
72;1919;"zh-cht";01/06/2003 00:00:00
73;867;"en    ";01/06/2003 00:00:00
73;1430;"ar    ";01/06/2003 00:00:00
73;1545;"fr    ";01/06/2003 00:00:00
73;1668;"th    ";01/06/2003 00:00:00
73;1799;"he    ";01/06/2003 00:00:00
73;1920;"zh-cht";01/06/2003 00:00:00
74;868;"en    ";01/06/2003 00:00:00
74;1380;"ar    ";01/06/2003 00:00:00
74;1546;"fr    ";01/06/2003 00:00:00
74;1669;"th    ";01/06/2003 00:00:00
74;1800;"he    ";01/06/2003 00:00:00
74;1921;"zh-cht";01/06/2003 00:00:00
75;869;"en    ";01/06/2003 00:00:00
75;1381;"ar    ";01/06/2003 00:00:00
75;1547;"fr    ";01/06/2003 00:00:00
75;1670;"th    ";01/06/2003 00:00:00
75;1801;"he    ";01/06/2003 00:00:00
75;1922;"zh-cht";01/06/2003 00:00:00
76;870;"en    ";01/06/2003 00:00:00
76;1382;"ar    ";01/06/2003 00:00:00
76;1548;"fr    ";01/06/2003 00:00:00
76;1671;"th    ";01/06/2003 00:00:00
76;1802;"he    ";01/06/2003 00:00:00
76;1923;"zh-cht";01/06/2003 00:00:00
77;871;"en    ";01/06/2003 00:00:00
77;1383;"ar    ";01/06/2003 00:00:00
77;1549;"fr    ";01/06/2003 00:00:00
77;1672;"th    ";01/06/2003 00:00:00
77;1803;"he    ";01/06/2003 00:00:00
77;1924;"zh-cht";01/06/2003 00:00:00
78;872;"en    ";01/06/2003 00:00:00
78;1384;"ar    ";01/06/2003 00:00:00
78;1550;"fr    ";01/06/2003 00:00:00
78;1673;"th    ";01/06/2003 00:00:00
78;1804;"he    ";01/06/2003 00:00:00
78;1925;"zh-cht";01/06/2003 00:00:00
79;885;"en    ";01/06/2003 00:00:00
79;1386;"ar    ";01/06/2003 00:00:00
79;1552;"fr    ";01/06/2003 00:00:00
79;1675;"th    ";01/06/2003 00:00:00
79;1806;"he    ";01/06/2003 00:00:00
79;1927;"zh-cht";01/06/2003 00:00:00
80;886;"en    ";01/06/2003 00:00:00
80;1431;"ar    ";01/06/2003 00:00:00
80;1553;"fr    ";01/06/2003 00:00:00
80;1676;"th    ";01/06/2003 00:00:00
80;1807;"he    ";01/06/2003 00:00:00
80;1928;"zh-cht";01/06/2003 00:00:00
81;887;"en    ";01/06/2003 00:00:00
81;1432;"ar    ";01/06/2003 00:00:00
81;1554;"fr    ";01/06/2003 00:00:00
81;1677;"th    ";01/06/2003 00:00:00
81;1808;"he    ";01/06/2003 00:00:00
81;1929;"zh-cht";01/06/2003 00:00:00
82;888;"en    ";01/06/2003 00:00:00
82;1433;"ar    ";01/06/2003 00:00:00
82;1555;"fr    ";01/06/2003 00:00:00
82;1678;"th    ";01/06/2003 00:00:00
82;1809;"he    ";01/06/2003 00:00:00
82;1930;"zh-cht";01/06/2003 00:00:00
83;889;"en    ";01/06/2003 00:00:00
83;1434;"ar    ";01/06/2003 00:00:00
83;1556;"fr    ";01/06/2003 00:00:00
83;1679;"th    ";01/06/2003 00:00:00
83;1810;"he    ";01/06/2003 00:00:00
83;1931;"zh-cht";01/06/2003 00:00:00
84;890;"en    ";01/06/2003 00:00:00
84;1435;"ar    ";01/06/2003 00:00:00
84;1557;"fr    ";01/06/2003 00:00:00
84;1680;"th    ";01/06/2003 00:00:00
84;1811;"he    ";01/06/2003 00:00:00
84;1932;"zh-cht";01/06/2003 00:00:00
85;903;"en    ";01/06/2003 00:00:00
85;1439;"ar    ";01/06/2003 00:00:00
85;1561;"fr    ";01/06/2003 00:00:00
85;1684;"th    ";01/06/2003 00:00:00
85;1815;"he    ";01/06/2003 00:00:00
85;1936;"zh-cht";01/06/2003 00:00:00
86;904;"en    ";01/06/2003 00:00:00
86;1440;"ar    ";01/06/2003 00:00:00
86;1562;"fr    ";01/06/2003 00:00:00
86;1685;"th    ";01/06/2003 00:00:00
86;1816;"he    ";01/06/2003 00:00:00
86;1937;"zh-cht";01/06/2003 00:00:00
87;905;"en    ";01/06/2003 00:00:00
87;1441;"ar    ";01/06/2003 00:00:00
87;1563;"fr    ";01/06/2003 00:00:00
87;1686;"th    ";01/06/2003 00:00:00
87;1817;"he    ";01/06/2003 00:00:00
87;1938;"zh-cht";01/06/2003 00:00:00
88;906;"en    ";01/06/2003 00:00:00
88;1442;"ar    ";01/06/2003 00:00:00
88;1564;"fr    ";01/06/2003 00:00:00
88;1687;"th    ";01/06/2003 00:00:00
88;1818;"he    ";01/06/2003 00:00:00
88;1939;"zh-cht";01/06/2003 00:00:00
89;907;"en    ";01/06/2003 00:00:00
89;1443;"ar    ";01/06/2003 00:00:00
89;1565;"fr    ";01/06/2003 00:00:00
89;1688;"th    ";01/06/2003 00:00:00
89;1819;"he    ";01/06/2003 00:00:00
89;1940;"zh-cht";01/06/2003 00:00:00
90;908;"en    ";01/06/2003 00:00:00
90;1444;"ar    ";01/06/2003 00:00:00
90;1566;"fr    ";01/06/2003 00:00:00
90;1689;"th    ";01/06/2003 00:00:00
90;1820;"he    ";01/06/2003 00:00:00
90;1941;"zh-cht";01/06/2003 00:00:00
91;909;"en    ";01/06/2003 00:00:00
91;1445;"ar    ";01/06/2003 00:00:00
91;1567;"fr    ";01/06/2003 00:00:00
91;1690;"th    ";01/06/2003 00:00:00
91;1821;"he    ";01/06/2003 00:00:00
91;1942;"zh-cht";01/06/2003 00:00:00
92;912;"en    ";01/06/2003 00:00:00
92;1446;"ar    ";01/06/2003 00:00:00
92;1568;"fr    ";01/06/2003 00:00:00
92;1691;"th    ";01/06/2003 00:00:00
92;1822;"he    ";01/06/2003 00:00:00
92;1943;"zh-cht";01/06/2003 00:00:00
93;913;"en    ";01/06/2003 00:00:00
93;1447;"ar    ";01/06/2003 00:00:00
93;1569;"fr    ";01/06/2003 00:00:00
93;1692;"th    ";01/06/2003 00:00:00
93;1823;"he    ";01/06/2003 00:00:00
93;1944;"zh-cht";01/06/2003 00:00:00
94;914;"en    ";01/06/2003 00:00:00
94;1448;"ar    ";01/06/2003 00:00:00
94;1570;"fr    ";01/06/2003 00:00:00
94;1693;"th    ";01/06/2003 00:00:00
94;1824;"he    ";01/06/2003 00:00:00
94;1945;"zh-cht";01/06/2003 00:00:00
95;3;"en    ";01/06/2003 00:00:00
95;1360;"ar    ";01/06/2003 00:00:00
95;1484;"fr    ";01/06/2003 00:00:00
95;1606;"th    ";01/06/2003 00:00:00
95;1728;"he    ";01/06/2003 00:00:00
95;1855;"zh-cht";01/06/2003 00:00:00
96;4;"en    ";01/06/2003 00:00:00
96;1361;"ar    ";01/06/2003 00:00:00
96;1485;"fr    ";01/06/2003 00:00:00
96;1607;"th    ";01/06/2003 00:00:00
96;1729;"he    ";01/06/2003 00:00:00
96;1856;"zh-cht";01/06/2003 00:00:00
97;5;"en    ";01/06/2003 00:00:00
97;1362;"ar    ";01/06/2003 00:00:00
97;1486;"fr    ";01/06/2003 00:00:00
97;1608;"th    ";01/06/2003 00:00:00
97;1730;"he    ";01/06/2003 00:00:00
97;1857;"zh-cht";01/06/2003 00:00:00
98;613;"en    ";01/06/2003 00:00:00
98;1388;"ar    ";01/06/2003 00:00:00
98;1505;"fr    ";01/06/2003 00:00:00
98;1627;"th    ";01/06/2003 00:00:00
98;1750;"he    ";01/06/2003 00:00:00
98;1876;"zh-cht";01/06/2003 00:00:00
99;618;"en    ";01/06/2003 00:00:00
99;1389;"ar    ";01/06/2003 00:00:00
99;1506;"fr    ";01/06/2003 00:00:00
99;1628;"th    ";01/06/2003 00:00:00
