"PurchaseOrderID";"RevisionNumber";"Status";"EmployeeID";"VendorID";"ShipMethodID";"OrderDate";"ShipDate";"SubTotal";"TaxAmt";"Freight";"TotalDue";"ModifiedDate"
33;0;4;241;87;4;16/02/2002 00:00:00;25/02/2002 00:00:00;421,155;33,692;10,529;465,376;25/02/2002 00:00:00
34;0;3;266;31;1;16/02/2002 00:00:00;25/02/2002 00:00:00;1276,275;102,102;31,907;1410,284;25/02/2002 00:00:00
35;0;4;164;26;1;16/02/2002 00:00:00;25/02/2002 00:00:00;2003,925;160,314;50,098;2214,337;25/02/2002 00:00:00
36;0;4;223;24;2;16/02/2002 00:00:00;25/02/2002 00:00:00;50860,425;4068,834;1271,511;56200,77;25/02/2002 00:00:00
37;0;4;233;48;1;16/02/2002 00:00:00;25/02/2002 00:00:00;454,86;36,389;11,372;502,62;25/02/2002 00:00:00
38;2;4;238;88;5;16/02/2002 00:00:00;25/02/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;25/02/2002 00:00:00
39;0;4;198;96;2;16/02/2002 00:00:00;25/02/2002 00:00:00;7132,125;570,57;178,303;7880,998;25/02/2002 00:00:00
40;0;4;264;39;2;16/02/2002 00:00:00;25/02/2002 00:00:00;28343,7;2267,496;708,593;31319,789;25/02/2002 00:00:00
41;0;4;244;52;4;16/02/2002 00:00:00;25/02/2002 00:00:00;22516,725;1801,338;562,918;24880,981;25/02/2002 00:00:00
42;1;4;231;43;5;16/02/2002 00:00:00;25/02/2002 00:00:00;34644,225;2771,538;866,106;38281,869;25/02/2002 00:00:00
43;0;4;241;37;5;16/02/2002 00:00:00;25/02/2002 00:00:00;427,928;34,234;10,698;472,86;25/02/2002 00:00:00
44;0;3;266;1;5;16/02/2002 00:00:00;25/02/2002 00:00:00;143,042;11,443;3,576;158,061;25/02/2002 00:00:00
45;0;4;274;56;2;16/02/2002 00:00:00;25/02/2002 00:00:00;28199,325;2255,946;704,983;31160,254;25/02/2002 00:00:00
46;0;4;223;60;1;16/02/2002 00:00:00;25/02/2002 00:00:00;3713,325;297,066;92,833;4103,224;25/02/2002 00:00:00
47;0;4;233;53;5;16/02/2002 00:00:00;25/02/2002 00:00:00;63831,075;5106,486;1595,777;70533,338;25/02/2002 00:00:00
48;0;4;238;10;5;16/02/2002 00:00:00;25/02/2002 00:00:00;16340,31;1307,225;408,508;18056,043;25/02/2002 00:00:00
49;0;4;261;66;5;20/02/2002 00:00:00;01/03/2002 00:00:00;5711,475;456,918;142,787;6311,18;01/03/2002 00:00:00
50;1;4;264;68;5;20/02/2002 00:00:00;01/03/2002 00:00:00;429,345;34,348;10,734;474,426;01/03/2002 00:00:00
51;0;4;244;61;2;20/02/2002 00:00:00;01/03/2002 00:00:00;97,965;7,837;2,449;108,251;01/03/2002 00:00:00
52;0;4;231;5;4;20/02/2002 00:00:00;01/03/2002 00:00:00;114,471;9,158;2,862;126,491;01/03/2002 00:00:00
53;0;4;198;58;4;24/02/2002 00:00:00;05/03/2002 00:00:00;132,647;10,612;3,316;146,574;05/03/2002 00:00:00
54;2;3;266;35;5;24/02/2002 00:00:00;05/03/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;05/03/2002 00:00:00
55;0;4;164;103;1;24/02/2002 00:00:00;05/03/2002 00:00:00;418,95;33,516;10,474;462,94;05/03/2002 00:00:00
56;0;4;223;7;4;24/02/2002 00:00:00;05/03/2002 00:00:00;525,767;42,061;13,144;580,972;05/03/2002 00:00:00
57;0;4;233;69;1;24/02/2002 00:00:00;05/03/2002 00:00:00;461,79;36,943;11,545;510,278;05/03/2002 00:00:00
58;0;4;238;23;4;24/02/2002 00:00:00;05/03/2002 00:00:00;630,378;50,43;15,76;696,568;05/03/2002 00:00:00
59;5;4;261;75;2;24/02/2002 00:00:00;05/03/2002 00:00:00;37,076;2,966;0,927;40,968;05/03/2002 00:00:00
60;0;4;264;3;4;24/02/2002 00:00:00;05/03/2002 00:00:00;21558,075;1724,646;538,952;23821,673;05/03/2002 00:00:00
61;0;4;244;54;4;24/02/2002 00:00:00;05/03/2002 00:00:00;507,087;40,567;12,677;560,331;05/03/2002 00:00:00
62;0;4;231;104;5;24/02/2002 00:00:00;05/03/2002 00:00:00;41048,7;3283,896;1026,218;45358,814;05/03/2002 00:00:00
63;0;4;241;25;5;24/02/2002 00:00:00;05/03/2002 00:00:00;429,345;34,348;10,734;474,426;05/03/2002 00:00:00
64;1;3;266;90;5;24/02/2002 00:00:00;05/03/2002 00:00:00;279,153;22,332;6,979;308,464;05/03/2002 00:00:00
65;0;4;164;33;5;24/02/2002 00:00:00;05/03/2002 00:00:00;40471,2;3237,696;1011,78;44720,676;05/03/2002 00:00:00
66;1;4;223;41;5;24/02/2002 00:00:00;05/03/2002 00:00:00;563,567;45,085;14,089;622,741;05/03/2002 00:00:00
67;0;4;233;55;5;24/02/2002 00:00:00;05/03/2002 00:00:00;62092,8;4967,424;1552,32;68612,544;05/03/2002 00:00:00
68;1;4;238;70;5;24/02/2002 00:00:00;05/03/2002 00:00:00;5948,25;475,86;148,706;6572,816;05/03/2002 00:00:00
69;0;4;261;94;5;25/02/2002 00:00:00;06/03/2002 00:00:00;91117,95;7289,436;2277,949;100685,335;06/03/2002 00:00:00
70;1;4;264;15;1;25/02/2002 00:00:00;06/03/2002 00:00:00;525,0;42,0;13,125;580,125;06/03/2002 00:00:00
71;0;4;244;62;5;25/02/2002 00:00:00;06/03/2002 00:00:00;2003,684;160,295;50,092;2214,07;06/03/2002 00:00:00
72;0;4;231;98;4;25/02/2002 00:00:00;06/03/2002 00:00:00;26455,275;2116,422;661,382;29233,079;06/03/2002 00:00:00
73;0;4;241;72;2;12/03/2002 00:00:00;21/03/2002 00:00:00;944,37;75,55;23,609;1043,529;21/03/2002 00:00:00
74;2;3;266;22;4;12/03/2002 00:00:00;21/03/2002 00:00:00;44594,55;3567,564;1114,864;49276,978;21/03/2002 00:00:00
75;0;4;164;50;3;12/03/2002 00:00:00;21/03/2002 00:00:00;62843,55;5027,484;1571,089;69442,123;21/03/2002 00:00:00
76;0;4;223;71;5;12/03/2002 00:00:00;21/03/2002 00:00:00;37843,575;3027,486;946,089;41817,15;21/03/2002 00:00:00
77;0;4;198;40;4;12/03/2002 00:00:00;21/03/2002 00:00:00;25531,275;2042,502;638,282;28212,059;21/03/2002 00:00:00
78;0;4;238;91;5;12/03/2002 00:00:00;21/03/2002 00:00:00;694,166;55,533;17,354;767,053;21/03/2002 00:00:00
79;0;4;261;57;4;12/03/2002 00:00:00;21/03/2002 00:00:00;125,748;10,06;3,144;138,952;21/03/2002 00:00:00
80;0;4;264;83;5;12/03/2002 00:00:00;21/03/2002 00:00:00;150,791;12,063;3,77;166,624;21/03/2002 00:00:00
81;0;4;244;32;5;12/03/2002 00:00:00;21/03/2002 00:00:00;560,007;44,801;14,0;618,808;21/03/2002 00:00:00
82;1;4;231;38;2;12/03/2002 00:00:00;21/03/2002 00:00:00;8847,3;707,784;221,183;9776,267;21/03/2002 00:00:00
83;0;4;241;85;5;12/03/2002 00:00:00;21/03/2002 00:00:00;171,077;13,686;4,277;189,04;21/03/2002 00:00:00
84;0;3;266;92;4;12/03/2002 00:00:00;21/03/2002 00:00:00;20397,3;1631,784;509,933;22539,017;21/03/2002 00:00:00
85;0;4;164;11;3;12/03/2002 00:00:00;21/03/2002 00:00:00;14628,075;1170,246;365,702;16164,023;21/03/2002 00:00:00
86;1;4;223;84;3;12/03/2002 00:00:00;21/03/2002 00:00:00;58685,55;4694,844;1467,139;64847,533;21/03/2002 00:00:00
87;0;4;233;78;5;12/03/2002 00:00:00;21/03/2002 00:00:00;773,01;61,841;19,325;854,176;21/03/2002 00:00:00
88;1;4;198;74;5;12/03/2002 00:00:00;21/03/2002 00:00:00;656,586;52,527;16,415;725,528;21/03/2002 00:00:00
89;0;4;261;13;5;26/03/2002 00:00:00;04/04/2002 00:00:00;1796,036;143,683;44,901;1984,619;04/04/2002 00:00:00
90;0;4;264;51;4;26/03/2002 00:00:00;04/04/2002 00:00:00;358,628;28,69;8,966;396,283;04/04/2002 00:00:00
91;0;4;244;80;5;26/03/2002 00:00:00;04/04/2002 00:00:00;34644,225;2771,538;866,106;38281,869;04/04/2002 00:00:00
92;0;4;274;47;4;26/03/2002 00:00:00;04/04/2002 00:00:00;257,576;20,606;6,439;284,621;04/04/2002 00:00:00
93;0;4;241;81;5;30/03/2002 00:00:00;08/04/2002 00:00:00;146,286;11,703;3,657;161,646;08/04/2002 00:00:00
94;0;3;266;46;5;30/03/2002 00:00:00;08/04/2002 00:00:00;102,564;8,205;2,564;113,333;08/04/2002 00:00:00
95;0;4;164;21;5;30/03/2002 00:00:00;08/04/2002 00:00:00;150,791;12,063;3,77;166,624;08/04/2002 00:00:00
96;0;4;223;27;5;30/03/2002 00:00:00;08/04/2002 00:00:00;13669,425;1093,554;341,736;15104,715;08/04/2002 00:00:00
97;2;4;233;86;5;09/04/2002 00:00:00;18/04/2002 00:00:00;16393,23;1311,458;409,831;18114,519;18/04/2002 00:00:00
98;0;4;238;45;4;09/04/2002 00:00:00;18/04/2002 00:00:00;73377,15;5870,172;1834,429;81081,751;18/04/2002 00:00:00
99;0;4;261;93;1;09/04/2002 00:00:00;18/04/2002 00:00:00;551,88;44,15;13,797;609,827;18/04/2002 00:00:00
100;0;4;264;64;1;09/04/2002 00:00:00;18/04/2002 00:00:00;6987,75;559,02;174,694;7721,464;18/04/2002 00:00:00
101;1;4;244;4;2;09/04/2002 00:00:00;18/04/2002 00:00:00;28072,275;2245,782;701,807;31019,864;18/04/2002 00:00:00
102;0;4;231;17;1;09/04/2002 00:00:00;18/04/2002 00:00:00;35394,975;2831,598;884,874;39111,447;18/04/2002 00:00:00
103;0;4;241;12;1;09/04/2002 00:00:00;18/04/2002 00:00:00;3407,25;272,58;85,181;3765,011;18/04/2002 00:00:00
104;0;3;266;44;2;09/04/2002 00:00:00;18/04/2002 00:00:00;28297,5;2263,8;707,438;31268,738;18/04/2002 00:00:00
105;0;4;164;30;2;09/04/2002 00:00:00;18/04/2002 00:00:00;59,945;4,796;1,499;66,239;18/04/2002 00:00:00
106;0;4;223;8;4;09/04/2002 00:00:00;18/04/2002 00:00:00;332,955;26,636;8,324;367,915;18/04/2002 00:00:00
107;0;4;233;73;5;09/04/2002 00:00:00;18/04/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;18/04/2002 00:00:00
108;0;4;238;76;4;09/04/2002 00:00:00;18/04/2002 00:00:00;674,384;53,951;16,86;745,194;18/04/2002 00:00:00
109;0;4;261;77;2;09/04/2002 00:00:00;18/04/2002 00:00:00;31398,675;2511,894;784,967;34695,536;18/04/2002 00:00:00
110;0;4;274;28;5;09/04/2002 00:00:00;18/04/2002 00:00:00;142,412;11,393;3,56;157,365;18/04/2002 00:00:00
111;0;4;244;2;5;09/04/2002 00:00:00;18/04/2002 00:00:00;19236,525;1538,922;480,913;21256,36;18/04/2002 00:00:00
112;0;4;231;87;4;09/04/2002 00:00:00;18/04/2002 00:00:00;272,444;21,796;6,811;301,05;18/04/2002 00:00:00
113;1;4;241;31;1;10/04/2002 00:00:00;19/04/2002 00:00:00;1276,275;102,102;31,907;1410,284;19/04/2002 00:00:00
114;0;3;266;26;1;10/04/2002 00:00:00;19/04/2002 00:00:00;2003,925;160,314;50,098;2214,337;19/04/2002 00:00:00
115;0;4;164;24;2;10/04/2002 00:00:00;19/04/2002 00:00:00;50860,425;4068,834;1271,511;56200,77;19/04/2002 00:00:00
116;0;4;223;48;1;10/04/2002 00:00:00;19/04/2002 00:00:00;454,86;36,389;11,372;502,62;19/04/2002 00:00:00
117;0;4;233;88;5;10/04/2002 00:00:00;19/04/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;19/04/2002 00:00:00
118;1;4;238;96;2;10/04/2002 00:00:00;19/04/2002 00:00:00;7132,125;570,57;178,303;7880,998;19/04/2002 00:00:00
119;0;4;261;39;2;10/04/2002 00:00:00;19/04/2002 00:00:00;28343,7;2267,496;708,593;31319,789;19/04/2002 00:00:00
120;0;4;264;52;4;10/04/2002 00:00:00;19/04/2002 00:00:00;22516,725;1801,338;562,918;24880,981;19/04/2002 00:00:00
121;0;4;274;43;5;10/04/2002 00:00:00;19/04/2002 00:00:00;34644,225;2771,538;866,106;38281,869;19/04/2002 00:00:00
122;0;4;231;37;4;10/04/2002 00:00:00;19/04/2002 00:00:00;266,238;21,299;6,656;294,193;19/04/2002 00:00:00
123;1;4;241;1;5;10/04/2002 00:00:00;19/04/2002 00:00:00;143,042;11,443;3,576;158,061;19/04/2002 00:00:00
124;0;3;266;56;2;10/04/2002 00:00:00;19/04/2002 00:00:00;28199,325;2255,946;704,983;31160,254;19/04/2002 00:00:00
125;0;4;164;60;1;10/04/2002 00:00:00;19/04/2002 00:00:00;3713,325;297,066;92,833;4103,224;19/04/2002 00:00:00
126;0;4;223;53;5;10/04/2002 00:00:00;19/04/2002 00:00:00;63831,075;5106,486;1595,777;70533,338;19/04/2002 00:00:00
127;0;4;233;10;5;10/04/2002 00:00:00;19/04/2002 00:00:00;16340,31;1307,225;408,508;18056,043;19/04/2002 00:00:00
128;0;4;238;66;5;10/04/2002 00:00:00;19/04/2002 00:00:00;5711,475;456,918;142,787;6311,18;19/04/2002 00:00:00
129;0;4;261;68;4;15/04/2002 00:00:00;24/04/2002 00:00:00;665,028;53,202;16,626;734,856;24/04/2002 00:00:00
130;0;4;264;61;2;15/04/2002 00:00:00;24/04/2002 00:00:00;97,965;7,837;2,449;108,251;24/04/2002 00:00:00
131;0;4;244;5;4;15/04/2002 00:00:00;24/04/2002 00:00:00;114,471;9,158;2,862;126,491;24/04/2002 00:00:00
132;2;4;231;58;4;15/04/2002 00:00:00;24/04/2002 00:00:00;132,647;10,612;3,316;146,574;24/04/2002 00:00:00
133;0;4;241;35;5;29/04/2002 00:00:00;08/05/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;08/05/2002 00:00:00
134;0;3;266;103;1;29/04/2002 00:00:00;08/05/2002 00:00:00;418,95;33,516;10,474;462,94;08/05/2002 00:00:00
135;0;4;164;7;4;29/04/2002 00:00:00;08/05/2002 00:00:00;3413,246;273,06;85,331;3771,636;08/05/2002 00:00:00
136;0;4;223;69;1;29/04/2002 00:00:00;08/05/2002 00:00:00;461,79;36,943;11,545;510,278;08/05/2002 00:00:00
137;2;4;233;23;4;13/05/2002 00:00:00;22/05/2002 00:00:00;722,453;57,796;18,061;798,31;22/05/2002 00:00:00
138;0;4;238;75;2;13/05/2002 00:00:00;22/05/2002 00:00:00;37,076;2,966;0,927;40,968;22/05/2002 00:00:00
139;1;4;198;3;4;13/05/2002 00:00:00;22/05/2002 00:00:00;21558,075;1724,646;538,952;23821,673;22/05/2002 00:00:00
140;0;4;264;54;4;13/05/2002 00:00:00;22/05/2002 00:00:00;351,855;28,148;8,796;388,8;22/05/2002 00:00:00
141;0;4;244;104;4;13/05/2002 00:00:00;22/05/2002 00:00:00;45172,05;3613,764;1129,301;49915,115;22/05/2002 00:00:00
142;2;4;231;25;4;13/05/2002 00:00:00;22/05/2002 00:00:00;267,183;21,375;6,68;295,237;22/05/2002 00:00:00
143;0;4;241;90;5;13/05/2002 00:00:00;22/05/2002 00:00:00;415,8;33,264;10,395;459,459;22/05/2002 00:00:00
144;1;3;266;33;5;13/05/2002 00:00:00;22/05/2002 00:00:00;40471,2;3237,696;1011,78;44720,676;22/05/2002 00:00:00
145;0;4;274;41;4;13/05/2002 00:00:00;22/05/2002 00:00:00;662,099;52,968;16,553;731,619;22/05/2002 00:00:00
146;0;4;223;55;5;13/05/2002 00:00:00;22/05/2002 00:00:00;62092,8;4967,424;1552,32;68612,544;22/05/2002 00:00:00
147;0;4;233;70;5;13/05/2002 00:00:00;22/05/2002 00:00:00;5948,25;475,86;148,706;6572,816;22/05/2002 00:00:00
148;0;4;238;94;5;13/05/2002 00:00:00;22/05/2002 00:00:00;91117,95;7289,436;2277,949;100685,335;22/05/2002 00:00:00
149;0;4;261;15;1;13/05/2002 00:00:00;22/05/2002 00:00:00;525,0;42,0;13,125;580,125;22/05/2002 00:00:00
150;0;4;264;62;5;13/05/2002 00:00:00;22/05/2002 00:00:00;2003,684;160,295;50,092;2214,07;22/05/2002 00:00:00
151;1;4;244;98;4;13/05/2002 00:00:00;22/05/2002 00:00:00;26455,275;2116,422;661,382;29233,079;22/05/2002 00:00:00
152;0;4;231;72;2;13/05/2002 00:00:00;22/05/2002 00:00:00;944,37;75,55;23,609;1043,529;22/05/2002 00:00:00
153;0;4;198;22;1;03/06/2002 00:00:00;12/06/2002 00:00:00;6993,525;559,482;174,838;7727,845;12/06/2002 00:00:00
154;0;3;266;50;3;03/06/2002 00:00:00;12/06/2002 00:00:00;36122,625;2889,81;903,066;39915,501;12/06/2002 00:00:00
155;0;4;164;71;5;03/06/2002 00:00:00;12/06/2002 00:00:00;37843,575;3027,486;946,089;41817,15;12/06/2002 00:00:00
156;1;4;223;40;4;03/06/2002 00:00:00;12/06/2002 00:00:00;25531,275;2042,502;638,282;28212,059;12/06/2002 00:00:00
157;0;4;233;91;5;01/07/2002 00:00:00;10/07/2002 00:00:00;773,955;61,916;19,349;855,22;10/07/2002 00:00:00
158;0;4;238;57;4;01/07/2002 00:00:00;10/07/2002 00:00:00;125,748;10,06;3,144;138,952;10/07/2002 00:00:00
159;0;4;261;83;5;01/07/2002 00:00:00;10/07/2002 00:00:00;150,791;12,063;3,77;166,624;10/07/2002 00:00:00
160;0;4;264;32;4;01/07/2002 00:00:00;10/07/2002 00:00:00;391,545;31,324;9,789;432,657;10/07/2002 00:00:00
161;0;4;244;38;2;01/07/2002 00:00:00;10/07/2002 00:00:00;8847,3;707,784;221,183;9776,267;10/07/2002 00:00:00
162;0;4;231;85;5;01/07/2002 00:00:00;10/07/2002 00:00:00;171,077;13,686;4,277;189,04;10/07/2002 00:00:00
163;0;4;241;92;4;01/07/2002 00:00:00;10/07/2002 00:00:00;20397,3;1631,784;509,933;22539,017;10/07/2002 00:00:00
164;0;3;266;11;3;01/07/2002 00:00:00;10/07/2002 00:00:00;14628,075;1170,246;365,702;16164,023;10/07/2002 00:00:00
165;0;4;164;84;3;01/07/2002 00:00:00;10/07/2002 00:00:00;58685,55;4694,844;1467,139;64847,533;10/07/2002 00:00:00
166;0;4;223;78;4;01/07/2002 00:00:00;10/07/2002 00:00:00;481,887;38,551;12,047;532,485;10/07/2002 00:00:00
167;0;4;233;74;4;01/07/2002 00:00:00;10/07/2002 00:00:00;710,955;56,876;17,774;785,605;10/07/2002 00:00:00
168;0;4;238;13;5;01/07/2002 00:00:00;10/07/2002 00:00:00;1796,036;143,683;44,901;1984,619;10/07/2002 00:00:00
169;0;4;261;51;4;01/07/2002 00:00:00;10/07/2002 00:00:00;664,304;53,144;16,608;734,055;10/07/2002 00:00:00
170;0;4;264;80;5;01/07/2002 00:00:00;10/07/2002 00:00:00;34644,225;2771,538;866,106;38281,869;10/07/2002 00:00:00
171;0;4;244;47;3;01/07/2002 00:00:00;10/07/2002 00:00:00;1581,93;126,554;39,548;1748,033;10/07/2002 00:00:00
172;0;4;231;81;5;01/07/2002 00:00:00;10/07/2002 00:00:00;146,286;11,703;3,657;161,646;10/07/2002 00:00:00
173;0;4;241;46;5;13/07/2002 00:00:00;22/07/2002 00:00:00;102,564;8,205;2,564;113,333;22/07/2002 00:00:00
174;0;3;266;21;5;13/07/2002 00:00:00;22/07/2002 00:00:00;150,791;12,063;3,77;166,624;22/07/2002 00:00:00
175;0;4;164;27;5;13/07/2002 00:00:00;22/07/2002 00:00:00;13669,425;1093,554;341,736;15104,715;22/07/2002 00:00:00
176;0;4;223;86;5;13/07/2002 00:00:00;22/07/2002 00:00:00;13458,69;1076,695;336,467;14871,853;22/07/2002 00:00:00
177;0;4;198;45;2;24/07/2002 00:00:00;02/08/2002 00:00:00;101720,85;8137,668;2543,021;112401,539;02/08/2002 00:00:00
178;0;4;238;93;1;24/07/2002 00:00:00;02/08/2002 00:00:00;551,88;44,15;13,797;609,827;02/08/2002 00:00:00
179;0;4;261;64;1;24/07/2002 00:00:00;02/08/2002 00:00:00;6987,75;559,02;174,694;7721,464;02/08/2002 00:00:00
180;0;4;264;4;2;24/07/2002 00:00:00;02/08/2002 00:00:00;28072,275;2245,782;701,807;31019,864;02/08/2002 00:00:00
181;0;4;244;17;1;24/07/2002 00:00:00;02/08/2002 00:00:00;1917,3;153,384;47,933;2118,617;02/08/2002 00:00:00
182;0;4;231;12;1;24/07/2002 00:00:00;02/08/2002 00:00:00;4215,75;337,26;105,394;4658,404;02/08/2002 00:00:00
183;0;4;241;44;2;24/07/2002 00:00:00;02/08/2002 00:00:00;28297,5;2263,8;707,438;31268,738;02/08/2002 00:00:00
184;0;3;266;30;2;24/07/2002 00:00:00;02/08/2002 00:00:00;59,945;4,796;1,499;66,239;02/08/2002 00:00:00
185;0;4;164;8;4;24/07/2002 00:00:00;02/08/2002 00:00:00;1055,565;84,445;26,389;1166,399;02/08/2002 00:00:00
186;0;4;223;73;5;24/07/2002 00:00:00;02/08/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;02/08/2002 00:00:00
187;0;4;233;76;4;24/07/2002 00:00:00;02/08/2002 00:00:00;747,81;59,825;18,695;826,33;02/08/2002 00:00:00
188;0;4;198;77;1;24/07/2002 00:00:00;02/08/2002 00:00:00;20957,475;1676,598;523,937;23158,01;02/08/2002 00:00:00
189;0;4;261;28;5;24/07/2002 00:00:00;02/08/2002 00:00:00;142,412;11,393;3,56;157,365;02/08/2002 00:00:00
190;0;4;264;2;2;24/07/2002 00:00:00;02/08/2002 00:00:00;48030,675;3842,454;1200,767;53073,896;02/08/2002 00:00:00
191;0;4;244;87;4;24/07/2002 00:00:00;02/08/2002 00:00:00;28597,023;2287,762;714,926;31599,71;02/08/2002 00:00:00
192;0;4;274;31;1;24/07/2002 00:00:00;02/08/2002 00:00:00;1276,275;102,102;31,907;1410,284;02/08/2002 00:00:00
193;0;4;241;26;1;27/07/2002 00:00:00;05/08/2002 00:00:00;2003,925;160,314;50,098;2214,337;05/08/2002 00:00:00
194;0;3;266;24;2;27/07/2002 00:00:00;05/08/2002 00:00:00;28343,7;2267,496;708,593;31319,789;05/08/2002 00:00:00
195;0;4;164;48;1;27/07/2002 00:00:00;05/08/2002 00:00:00;454,86;36,389;11,372;502,62;05/08/2002 00:00:00
196;0;4;223;88;5;27/07/2002 00:00:00;05/08/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;05/08/2002 00:00:00
197;0;4;233;96;2;27/07/2002 00:00:00;05/08/2002 00:00:00;7132,125;570,57;178,303;7880,998;05/08/2002 00:00:00
198;0;4;238;39;2;27/07/2002 00:00:00;05/08/2002 00:00:00;28343,7;2267,496;708,593;31319,789;05/08/2002 00:00:00
199;0;4;261;52;4;27/07/2002 00:00:00;05/08/2002 00:00:00;22516,725;1801,338;562,918;24880,981;05/08/2002 00:00:00
200;0;4;264;43;5;27/07/2002 00:00:00;05/08/2002 00:00:00;34644,225;2771,538;866,106;38281,869;05/08/2002 00:00:00
