"ProductDescriptionID";"Description";"rowguid";"ModifiedDate"
321;"Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.";0xDA29B4C751DCDB47A18E5891E76CCC16;01/06/2003 00:00:00
337;"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.";0x0B0F56DB0BE7A742A1F53B7E42D3679D;01/06/2003 00:00:00
375;"Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day.";0x85217B742003E54F8E8F27B84A40A838;01/06/2003 00:00:00
376;"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.";0x5B95D9F11CBC344DBE8BCDEE33E77087;01/06/2003 00:00:00
409;"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.";0x1467C73D727547459D79ABB708950B2C;01/06/2003 00:00:00
457;"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.";0xEA8DDB3D37FC444E8C1D0BF7C6A723E3;01/06/2003 00:00:00
513;"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.";0x59AE1E74595EBC4D90862633392C2582;01/06/2003 00:00:00
554;"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.";0xB255C9DD3E84CE498F7B54870F6135EB;01/06/2003 00:00:00
594;"Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.";0x922CB83245E5A04DA1750BE710B482FE;01/06/2003 00:00:00
613;"Superior shifting performance.";0x18867D9CC3A30F4C8C722E10124E88CA;01/06/2003 00:00:00
618;"Super rigid spindle.";0x7EFA5FE1E8BDE14D8E81F197A56E0C9D;01/06/2003 00:00:00
619;"High-strength crank arm.";0xAC082BB6DAA6BC43950F2DE2EB5720EB;01/06/2003 00:00:00
620;"Triple crankset; alumunim crank arm; flawless shifting.";0x25D244E9A7C6A64FA31FB6CE95E53203;01/06/2003 00:00:00
627;"All-weather brake pads; provides superior stopping by applying more surface to the rim.";0xA4F0F2EBF289314DBE48D8FD278F3024;01/06/2003 00:00:00
630;"Wide-link design.";0x2C68C428B238614BA2AEBCAC7C7CE29B;01/06/2003 00:00:00
633;"Stout design absorbs shock and offers more precise steering.";0xBFCDCC27027E28439C05E406BD2E5A60;01/06/2003 00:00:00
634;"Composite road fork with an aluminum steerer tube.";0xF020EE53E91DC2448A5D4CFA349F1A07;01/06/2003 00:00:00
635;"High-performance carbon road fork with curved legs.";0x029039C273E29B40816442F6E6BFCC6C;01/06/2003 00:00:00
637;"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.";0x91E59EF410B1F54CBC1762BB838DC58A;01/06/2003 00:00:00
642;"The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.";0xFDEEFB35E6102044B0AE051B57FEFF36;01/06/2003 00:00:00
644;"The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.";0xB5F9B9E42874344BB8EA3FB6EE4BC4F8;01/06/2003 00:00:00
647;"Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.";0x9FE2D97ACF16B04DB073CC62D501B61A;01/06/2003 00:00:00
661;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.";0x549D1CD6C3226345A4180B9DC7E03850;01/06/2003 00:00:00
686;"Replacement mountain wheel for entry-level rider.";0x3A4BCC7D9A7EEC4EAAEE0E841CDBBEBC;01/06/2003 00:00:00
687;"Replacement mountain wheel for the casual to serious rider.";0x0EE918FD7A52124E9F526C07AC6EC3E8;01/06/2003 00:00:00
688;"High-performance mountain replacement wheel.";0xD8332FD4A859694A9A5B970FC4D8F745;01/06/2003 00:00:00
689;"Replacement road front wheel for entry-level cyclist.";0xAB8227095E1A4B469819AD8E240CAA31;01/06/2003 00:00:00
690;"Sturdy alloy features a quick-release hub.";0xD2FB38DEA87F534A9E687698B85C6745;01/06/2003 00:00:00
691;"Strong wheel with double-walled rim.";0xD22EAB2691D00A4A8185E9FEF31E07D4;01/06/2003 00:00:00
692;"Aerodynamic rims for smooth riding.";0xBE5FDDB7E50F2348958793E434C8D54B;01/06/2003 00:00:00
697;"All-purpose bar for on or off-road.";0xB9018E5814B8244C9FA813426BCE8015;01/06/2003 00:00:00
698;"Tough aluminum alloy bars for downhill.";0x5F0CF0116873054792AF58D1E82C08C6;01/06/2003 00:00:00
699;"Flat bar strong enough for the pro circuit.";0x9DBEE9C0A12F3E42885BD09B94D46A5E;01/06/2003 00:00:00
700;"Unique shape provides easier reach to the levers.";0x12F3B6301617F24A88CFEC63FC047B18;01/06/2003 00:00:00
701;"Anatomically shaped aluminum tube bar will suit all riders.";0x2754940474A8F4489D65140EDF814CCC;01/06/2003 00:00:00
702;"Designed for racers; high-end anatomically shaped bar from aluminum alloy.";0xEBFAA81D2E2FB743B8699FCE371B8409;01/06/2003 00:00:00
703;"Unique shape reduces fatigue for entry level riders.";0xBB0DE1891FCEA743BAE3579447FB6EE4;01/06/2003 00:00:00
704;"A light yet stiff aluminum bar for long distance riding.";0x2B0B79DAAD8A5B48B1A9CCBED7D1D09D;01/06/2003 00:00:00
744;"Threadless headset provides quality at an economical price.";0x35718B430481804E942BE4B9441AB8DA;01/06/2003 00:00:00
745;"Sealed cartridge keeps dirt out.";0x4B701C0B1AD92E43897C54633C7F0748;01/06/2003 00:00:00
746;"High-quality 1"" threadless headset with a grease port for quick lubrication.";0x90334C588A0895498E6D1F7FA08C1675;01/06/2003 00:00:00
847;"Expanded platform so you can ride in any shoes; great for all-around riding.";0x17559C50E389064ABDA2E3892A868C09;01/06/2003 00:00:00
848;"Lightweight, durable, clipless pedal with adjustable tension.";0x19BBAC039A74A148B77E5D2A48E8DC3A;01/06/2003 00:00:00
849;"Stainless steel; designed to shed mud easily.";0x48FDD9DA0C51CB4695E577EAC3472976;01/06/2003 00:00:00
850;"Clipless pedals - aluminum.";0x2AC64336F2B4FC4BAB0340486C3D0FF9;01/06/2003 00:00:00
851;"Lightweight aluminum alloy construction.";0xE45D600B6BFFBA409A5DD4D6211CD07E;01/06/2003 00:00:00
852;"Top-of-the-line clipless pedals with adjustable tension.";0x78CEC64189B00B4E9B91E57A6BB010DC;01/06/2003 00:00:00
853;"A stable pedal for all-day riding.";0x165770FD548E96489B86AFBDAA6F9759;01/06/2003 00:00:00
856;"Refillable shoes; polished aluminum calipers.";0xC1A1CC870295584FA8C7E920220FA106;01/06/2003 00:00:00
858;"10-speed aluminum derailleur with sealed pulley bearings.";0xAD66DDE21561944C9884CEC7466BCF6C;01/06/2003 00:00:00
867;"Replacement rear mountain wheel for entry-level rider.";0x710B6821BE10724692A86663F38A76B0;01/06/2003 00:00:00
868;"Replacement rear mountain wheel for the casual to serious rider.";0x4EC416D314D7B84FA4BAA2FE6FC029C8;01/06/2003 00:00:00
869;"Extra-strong rims guarantee durability.";0xEE103496AC296B4E8AEA1A40E3F04CD6;01/06/2003 00:00:00
870;"Replacement rear wheel for entry-level cyclist.";0xF1B86FDEAA84D9488A24268695D3155E;01/06/2003 00:00:00
871;"Aluminum alloy rim with stainless steel spokes; built for speed.";0x39BB289715E5D847BF9BA3C8C2129E45;01/06/2003 00:00:00
872;"Strong rear wheel with double-walled rim.";0xBE8140838F15A6418D0C1E7B4D3ABBA3;01/06/2003 00:00:00
873;"Excellent aerodynamic rims guarantee a smooth ride.";0xC7EF55E0015F4D4DB02433AB5B6C6AD1;01/06/2003 00:00:00
885;"Synthetic leather. Features gel for increased comfort.";0xBB8A8CFB514A5248A8706047B8834D22;01/06/2003 00:00:00
886;"Designed to absorb shock.";0xD7E316F07761A3438BFF160320966471;11/03/2004 10:32:17
887;"Anatomic design for a full-day of riding in comfort. Durable leather.";0x0E8CF3BABF696C4F805AC7C1C6E9056A;01/06/2003 00:00:00
888;"Lightweight foam-padded saddle.";0x633F15761C2AE64EBBCF0585D8AC8C55;01/06/2003 00:00:00
889;"Rubber bumpers absorb bumps.";0xCAB49F280AB78E45AAFBD13CB073058C;01/06/2003 00:00:00
890;"Lightweight kevlar racing saddle. Leather.";0x3949E3DE85FC1A40930B75EBEBF7FFE1;01/06/2003 00:00:00
891;"Comfortable, ergonomically shaped gel saddle.";0x9D0D89DD43017644B48986D8D6094AA4;01/06/2003 00:00:00
892;"New design relieves pressure for long rides.";0x6DC21034A6016F41898A43228FA1FAD6;01/06/2003 00:00:00
893;"Cut-out shell for a more comfortable ride.";0x6838DA1959152F46809800BE37BDBEDC;01/06/2003 00:00:00
903;"Comparible traction, less expensive wire bead casing.";0xA3E43BB85BA9964D81DE16325F0DF11E;01/06/2003 00:00:00
904;"Great traction, high-density rubber.";0x93F017E9282A6B49AEBFA704CD738038;01/06/2003 00:00:00
905;"Incredible traction, lightweight carbon reinforced.";0x6DE55311E1B98E45A2BBD6D6362C5B05;01/06/2003 00:00:00
906;"Same great treads as more expensive tire with a less expensive wire bead casing.";0xDE75192EB821C94E99986F39E14D476C;01/06/2003 00:00:00
907;"Higher density rubber.";0x6482BCDCD7C4044B953192AB4C868C10;01/06/2003 00:00:00
908;"Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.";0x6BEAC561CA1A4741908E5A7EB753E1BB;01/06/2003 00:00:00
909;"High-density rubber.";0xA4746CACED9AB84E8800EFE07516FCDB;01/06/2003 00:00:00
912;"Self-sealing tube.";0x674CF9B90A9BD442BE789401AC9AA833;01/06/2003 00:00:00
913;"Conventional all-purpose tube.";0xF6DC552E71FD7B4CA6311D62AE802190;01/06/2003 00:00:00
914;"General purpose tube.";0xB261068CDCE433438F329A5C8CA37181;01/06/2003 00:00:00
1020;"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.";0x6B0AC7F4E8BB74479D75393D3F315E9B;01/06/2003 00:00:00
1062;"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.";0xBB56E493310E334AB3BD73936B8AC6CC;01/06/2003 00:00:00
1090;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";0x3CC854709BBD244E84764D1B37BB08DF;01/06/2003 00:00:00
1146;"Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.";0x5466A0399A8E564BA943FCA2598BC444;01/06/2003 00:00:00
1182;"The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.";0x9B60A787FF8C604B9AF0E0E5045E4A2D;01/06/2003 00:00:00
1183;"Affordable light for safe night riding - uses 3 AAA batteries";0x4469A223024ADD4A962F781866953D87;01/06/2003 00:00:00
1185;"Aluminum cage is lighter than our mountain version; perfect for long distance trips.";0x997896751BB301498EFAB5A065CDFD55;01/06/2003 00:00:00
1186;"AWC logo water bottle - holds 30 oz; leak-proof.";0xE7081CAEB051B3458AA6A534A0458CF6;01/06/2003 00:00:00
1187;"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.";0xA11BEB7E5E4ACB4395974D35FE1F734C;01/06/2003 00:00:00
1188;"Clip-on fenders fit most mountain bikes.";0x0A7DB1798340B04882024E7B3FB4B263;01/06/2003 00:00:00
1189;"Combination of natural and synthetic fibers stays dry and provides just the right cushioning.";0x223A93029C6FAC44ADC3C1520C11C478;01/06/2003 00:00:00
1191;"Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.";0xC0ED78D93324194E9B28D768262D52F2;01/06/2003 00:00:00
1192;"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.";0x1765D720958D3745AB70BA77A71C70F1;01/06/2003 00:00:00
1193;"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.";0x011DBAF9FB7492438D83352696CB6B7F;01/06/2003 00:00:00
1194;"Full padding, improved finger flex, durable palm, adjustable closure.";0x8FC0E2400CFE35489DF5F86DD0A59586;01/06/2003 00:00:00
1195;"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.";0x5C1592FF1771A64F8AC56B18A306698A;01/06/2003 00:00:00
1196;"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.";0x64EE5BC6BA4DEC4791CD31356BA379E1;01/06/2003 00:00:00
1197;"Includes 8 different size patches, glue and sandpaper.";0x06C82D1373E0864C8EB87EB04E1193A6;01/06/2003 00:00:00
1199;"Light-weight, wind-resistant, packs to fit into a pocket.";0x7698E453E9BFB6439DF6F928390F1A8C;01/06/2003 00:00:00
1200;"Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.";0x5354EB7B5078984C9D37ABBE84BEE23D;01/06/2003 00:00:00
1201;"Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.";0x2FD6DE80C901F042A57645376C6A24A0;01/06/2003 00:00:00
1202;"Rechargeable dual-beam headlight.";0xC6DE79D17AD0AB4B9F8F5D4A33DBC60C;01/06/2003 00:00:00
1203;"Rugged weatherproof headlight.";0x9333A6E24164DD43960DAFE9C83213A0;01/06/2003 00:00:00
1205;"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.";0xDE6ED85819056342A264A2B5B01A6C7B;01/06/2003 00:00:00
1206;"Simple and light-weight. Emergency patches stored in handle.";0x4A27E0DC8EC71D4A9DC304A378C69D91;01/06/2003 00:00:00
1208;"Thin, lightweight and durable with cuffs that stay up.";0x6366439F5D52C24C85BA47D20BCEA0EC;01/06/2003 00:00:00
1209;"Tough aluminum cage holds bottle securly on tough terrain.";0x52EB46AD63A85E42B81B16D2F76984C9;01/06/2003 00:00:00
1210;"Traditional style with a flip-up brim; one-size fits all.";0x214BF866431AD349888309CDB77FFFEF;01/06/2003 00:00:00
1211;"Unisex long-sleeve AWC logo microfiber cycling jersey";0x5302F612E1F8764F81426232396B8F17;01/06/2003 00:00:00
1212;"Universal fit, well-vented, lightweight , snap-on visor.";0x4B15B1DBE80D6B4BA8F92A1244AED183;01/06/2003 00:00:00
1213;"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.";0x5B8A6D5052E4B143B7644015E5E1237B;01/06/2003 00:00:00
1214;"Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.";0x2E8C75C00989DF4CA2318A44623AE721;01/06/2003 00:00:00
1215;"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.";0xB35C5EC039E6E44A83FA3FD61A4550BF;01/06/2003 00:00:00
1216;"Wraps to fit front and rear tires, carrier and 2 keys included.";0x53531541A7E7BF489C8EB62372CA4738;01/06/2003 00:00:00
1360;"??????? ?????????";0x460DF3A2BCE4784883F29FD77B911D7E;01/06/2003 00:00:00
1361;"?????? ?? ????? ??????????? ??? ???? ????? ???? ?????.";0x493C6DE63D9FDB44B7B45F7E959B332B;01/06/2003 00:00:00
1362;"?????? ?? ????? ?????????? ????? ????.";0x422728319DA85D43BA076ED1632E077C;01/06/2003 00:00:00
1363;"?????? ??? ??? ?? ????? ???????? ????? ??? ????? ??????? ?? ??? ???????. ?????? ??? ???????. ??? ????? ??? ?? ????? ?????.";0x476BF6E7284E19448C6F86CD94141608;01/06/2003 00:00:00
1364;"???? ??? ??????? ????? ?????? ?? ?????? ?? ???? ??????? ?????. ??? ????? ????? ????????? ???????? ?????? ????????? ??? ???????? ??? ????????? ??????? ???? ???? ????? ?? ??????? ??? ????? ??? ???????.";0xCAE5F3870F465641817C383EB6E6076C;01/06/2003 00:00:00
1365;"?????? ????? ???????? ?? ??????? ??? ???????. ????? ????? ?????? ????? ???????? ??? ??? ?? ???? ??? ????? ?? ?? ???? ??? ????? ??????? ?? ??? ??? ?? ?????? ????????.";0x470265B0EF26E94180F35ED0FA0523FA;01/06/2003 00:00:00
1366;"?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.";0x76D7E0432EB18542968303E18B732A7C;01/06/2003 00:00:00
1367;"????? ?????? ????? ??????? ?? ?????? ?? ???? ????. ????? ?????? ????? ?????? ???? HL Frame ????????? ???????? ??????? ?? ??????? ???????? ???? ???? ???????? ????? ????? ???????.";0x0F90995961DD1F40A22B36115C6853C8;01/06/2003 00:00:00
1368;"?????? ????? ????? ??????? ??? ????? ??? ???????. ????? ??? ???????.";0x62761831032E904B960D0B9C16300C4B;01/06/2003 00:00:00
1369;"???? ????? ?????? ????????? ?? ????????? ??? ???? ????? ????? ????? ??? ????? ?????? ?? ?? ???? ???????. ????? ????? ???????? ????????? ????????? ????? ???????.";0x237D4D54F5AAD746953DC6C85E7E239D;01/06/2003 00:00:00
1370;"???? ????? ??? ??? ????? ?????????? ??? ????? ??????? ?? ????? ???? ?????? ????????. ???? ????? ????? ??? ????? ?? ?? ???? ???? ????? ????? ?? ???????.";0xE9BB6C011BD5504A94CD5FF2DA577C5B;01/06/2003 00:00:00
1371;"???? ??? ??????? ???????? ?? ???? ?????? ????? ?????? ?????? ???? ???? ??????? ?? ?? ????? ???? ?????? ??????? ????????. ???? ????? ?????? ???? ?????? ?? ???????? ?????? ??????? ??? ????? ??????? ?? ??????? ?? ????????.";0x3D6C6BE802638A4BB51769D795772A1D;01/06/2003 00:00:00
1372;"???? ??? ??????? ???????? ?? ???? ?????? ????? ?????? ?????. ???? ????? ?????? ?????? ???????? ????? ??????? ??? ????? ??????? ?? ??????? ?? ????????.";0x5F2A4C2122EDA54E83F5D2E78C417BDC;01/06/2003 00:00:00
1373;"???? ????? ???? ?????? ?? ???????? ??? ????? ?????? ???? ?????? ???????? ??? ????? ?????? ???????. ???? ?? ??????? ?????????? ??????? ??????? ??????? ?? ?????????? ??? ???? ????? ????? ?????? ???????? ???? ????? ???????? ????? ????????.";0xA20AEE7911738C448C0BAC926F68A746;01/06/2003 00:00:00
1374;"????? ???????? ??? ??????? ??????? ???? ????? ?????? ??????????? ???????? ?????? ??? ?????? ?????? ?? ??????? ?? ???? ???????? ?? ???? ???????. ????? ?? ????? ??????? ???????? ?????? ???? ?????.";0xC17960C45D030E49896C2CB201AAE357;01/06/2003 00:00:00
1375;"?????? ???????? ??? ??????? ??????? ???? ????? ?????? ??????????? ???????? ???????? ?????? ?????? ??? ?????? ?????? ?? ??????? ?? ???? ???????? ?? ???? ???????. ????? ??? ????? ??????? ???????? ?????? ???? ?????.";0x9E199F99894FBC4EB6D42B6362785C3C;01/06/2003 00:00:00
1376;"???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????.";0xFBEA203606C5E84B81F37B2DC5DA904D;01/06/2003 00:00:00
1377;"???? ??????? ???? ?????? ???????? ??????? ????????. ?????? ???? ?? ??????? ?? ???? ???? ???? ????????? Adventure Works Cycles? ??? ?? ????? ?????? ?? ?????????? ?????? ???????? ???????? ??? ??????? ????? ????? ???? ??????? ?????? ?? ???????.";0xF28F04549DDCEA479B47A2664076C1C7;01/06/2003 00:00:00
1378;"???? ????? ????? ???? ????? ????????? ??? ????? ??? ????? ?????? ??????? ???????? ?? ????????. ??? ????? ??????? ???? ????? ??????? ?? ????? ??? ????? ??????? ?? ????? ?????? ?? ????? ????? ??????? ?????????.";0x069B070BB951CB43A47C9966BF38CB68;01/06/2003 00:00:00
1379;"?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????.";0x5D542F27D57B8C40BCDAE636D2E1AADB;01/06/2003 00:00:00
1380;"???? ???????? ????? ????? ??????? ?? ?????? ????? ???? ???????? ????? ?? ?????? ?????? ??? ?????? ???????.";0x3CE8994A8387A04B845B67FAF448DCC7;01/06/2003 00:00:00
1381;"?????? ??????? ????? ????? ?????? ??? ??????.";0x51864BAC17E4C14B96E2F93FB4477947;01/06/2003 00:00:00
1382;"???? ????? ????? ?????? ???????? ?????????.";0x8424805B4E948F49A7E5383A2DD585F5;01/06/2003 00:00:00
1383;"???? ????? ????? ?? ????? ?????????? ?????? ?????? ?? ??????? ???? ?? ????? ???? ?????? ??????.";0xC204B3E63ADDF34CB273084765A0DFF4;01/06/2003 00:00:00
1384;"???? ????? ???? ????? ????? ?? ??????.";0xDEF9AD075DA6D3469FE34F7D49691066;01/06/2003 00:00:00
1385;"?????? ??????? ??????? ??????? ?????? ??????????? ???????? ????? ??????? ???????.";0x62FE6B48A6F3A446BF513A3237F18BD2;01/06/2003 00:00:00
1386;"??? ?????. ????? ??? ???? ????????? ?????? ???? ?? ??????.";0x7F5ADF0475EAB048AEA09D3F1EB9EACC;01/06/2003 00:00:00
1387;"????????? ??????? ?????? ??????? ??? ?????. ??? ?? ????? ??? ??????? ?????? ???? ????? ?????? ???????. ???? ?? ?????? ?????? ?? ?????? ??????? ??????? ??? ???? ????? ?????????. ???? ?????? ????? ?????????? ????? ??????? ??? ????? ??? ??? ?????.";0xEB2193C773E00449A7C24D748CA67C8C;01/06/2003 00:00:00
1388;"???? ???? ?? ??? ???????.";0x20BC7516C4F1314998E6C749F9AA3CBA;01/06/2003 00:00:00
1389;"???? ????? ??? ???? ??????.";0x0CFC6C82281979409592C29403F1DA3F;01/06/2003 00:00:00
1390;"???? ????? ???? ?????.";0xD30A46F2D7BE514D8F8E9D1E6E1446B4;01/06/2003 00:00:00
1391;"?????? ????? ??????? ????? ????? ????????? ???????? ??? ????? ??? ???? ?????.";0x7BE427BB1106FD42AD89CF8C48210DFD;01/06/2003 00:00:00
1392;"????? ??? ?????? (???) ?????? ????? ???? ?????? ??????? ??? ???? ??????? ????? ????? ???? ?????? ????? ???? ?? ??? ??????? ??? ?????? ???????.";0x5766404A2A8D5A4E8048320A80132133;01/06/2003 00:00:00
1393;"????? ???? ???????.";0xFA0F3FC7792AAD40977ECA97DFB7AEB2;01/06/2003 00:00:00
1394;"????? ??? ???? ??????? ????? ????? ???? ???.";0xA28891B8DEB5B04DBCE17D708E666647;01/06/2003 00:00:00
1395;"???? ???? ????? ?????? ???????? ????? ??? ???? ????? ????? ?? ??????????.";0xAD1E5855408229448458C847791FBB5B;01/06/2003 00:00:00
1396;"???? ???? ????? ?????? ???????? ?? ??????? ????? ?????? ??? ?????? ??????.";0x5EC88DBC24C3D845A68669253AD69333;01/06/2003 00:00:00
1397;"???? ???? ??? ???? ???????? ????? ??? ?????? ??? ????? ?????? ?????????? ????????? ?? ???? ML ??????? ?? ??????????.";0x08A114210E2D2B4491BA5ADB5C266544;01/06/2003 00:00:00
1398;"?? ???? ML ?? ???? ????? ?? ?????????? ?????? ??????? ????? ???? ?????? ????? ???? HL ????? ???. ??? ???? ????? ??????. ?????? ???????.";0xCB1D4C42D78CDA4DBA07B9DEC5D70652;01/06/2003 00:00:00
1399;"?? ???? ML ?? ???? ????? ?? ?????????? ?????? ??????? ????? ???? ?????? ????? ???? HL ????? ???. ??? ???? ????? ??????. ?????? ???????.";0x637DC6B7E0455244871BCB649FCDAC8A;01/06/2003 00:00:00
1400;"??? ?? ????? ?? ???? ?? ??? ??????? ?????? ?? ?????? ?????? Bothel ???? ??? ????? ???? ????? ??? ???? ?????? ???????? ????? ????? ????? ??????? ?? ?????? ?? ?????? ??????. ?????? ???? ?????????? ??????? ????????? ??????? ??????? ??? ??? ???? ???? ???????.";0x6E5F0042E78BB046817E7AFCB24DBACB;01/06/2003 00:00:00
1401;"????? ???? ML ??? ?????? ????? ???? ????? ?? ??????? ???? ????? ??? ???? ??? ???? ???? ????? ?????? ??? ?? ??????? ?? ??? ????? ?????????? ???? ?? ????? ???? HL - ???? ??? ?? ???? ???????? - ????. ?????? ???????.";0xC588B911899ACE41A2A5F7DE11B99025;01/06/2003 00:00:00
1402;"???? ???????? ????? ??????? ?? ?????? ?????? ???????? ?????????.";0x8E23F0C0F95FE84D9AA2D395DC0134B2;01/06/2003 00:00:00
1403;"???? ???????? ????? ??????? ?? ?????? ????? ???? ????? ?????? ????? ?? ?????? ?????? ??? ?????? ???????.";0x598E59A83830D74CB9EF0DC059FAD2A1;01/06/2003 00:00:00
1404;"???? ???????? ????? ??????? ?? ?????? ????? ??????.";0xCA670FB422204F40AE5DC87F584372E2;01/06/2003 00:00:00
1405;"???? ???? ?????? ????? ?????? ???????? ?????????.";0xBE86A2513C6E4348811E74D6CE0343AA;01/06/2003 00:00:00
1406;"????? ????? ????? ???? ????? ??? ???? ???? ???? ???????.";0x2EEC85E9A4653F47994246E79E5CA1EE;01/06/2003 00:00:00
1407;"???? ???? ????? ????? ?? ??????.";0x784E0CB191E0604EBC53BB40B08CF9AF;01/06/2003 00:00:00
1408;"???? ????? ??????????? ???????? ???????? ????????? ????? ????.";0xCEBACE083F52B94F937C43C8D457520B;01/06/2003 00:00:00
1409;"???? ????? ????? ????? ??????? ??? ????? ??????? ???? ???????.";0x897A09B6C658F34BBD109F49BB47D7D1;01/06/2003 00:00:00
1410;"????? ????? ???? ?? ????? ?????????? ?????? ??????? ??? ?????????.";0x0CD4CA63C6DA0147A46468B86DE8DF71;01/06/2003 00:00:00
1411;"???? ????? ???? ???? ????? ????? ?????? ?????????.";0x83743F30E64F664684FCF62BE59082FD;01/06/2003 00:00:00
