"CurrencyRateID";"CurrencyRateDate";"FromCurrencyCode";"ToCurrencyCode";"AverageRate";"EndOfDayRate";"ModifiedDate"
237;19/07/2001 00:00:00;"USD";"BRL";1,924;1,933;19/07/2001 00:00:00
238;19/07/2001 00:00:00;"USD";"CAD";1,48;1,486;19/07/2001 00:00:00
239;19/07/2001 00:00:00;"USD";"CNY";8,237;8,238;19/07/2001 00:00:00
240;19/07/2001 00:00:00;"USD";"DEM";1,953;1,953;19/07/2001 00:00:00
241;19/07/2001 00:00:00;"USD";"EUR";0,999;0,999;19/07/2001 00:00:00
242;19/07/2001 00:00:00;"USD";"FRF";6,55;6,551;19/07/2001 00:00:00
243;19/07/2001 00:00:00;"USD";"GBP";0,625;0,625;19/07/2001 00:00:00
244;19/07/2001 00:00:00;"USD";"JPY";102,47;102,477;19/07/2001 00:00:00
245;19/07/2001 00:00:00;"USD";"MXN";9,35;9,358;19/07/2001 00:00:00
246;19/07/2001 00:00:00;"USD";"SAR";3,751;3,758;19/07/2001 00:00:00
247;19/07/2001 00:00:00;"USD";"VEB";638,5;638,51;19/07/2001 00:00:00
248;20/07/2001 00:00:00;"USD";"ARS";1,0;0,999;20/07/2001 00:00:00
249;20/07/2001 00:00:00;"USD";"AUD";1,583;1,582;20/07/2001 00:00:00
250;20/07/2001 00:00:00;"USD";"BRL";1,924;1,918;20/07/2001 00:00:00
251;20/07/2001 00:00:00;"USD";"CAD";1,482;1,482;20/07/2001 00:00:00
252;20/07/2001 00:00:00;"USD";"CNY";8,237;8,237;20/07/2001 00:00:00
253;20/07/2001 00:00:00;"USD";"DEM";1,952;1,952;20/07/2001 00:00:00
254;20/07/2001 00:00:00;"USD";"EUR";0,998;0,997;20/07/2001 00:00:00
255;20/07/2001 00:00:00;"USD";"FRF";6,547;6,546;20/07/2001 00:00:00
256;20/07/2001 00:00:00;"USD";"GBP";0,625;0,625;20/07/2001 00:00:00
257;20/07/2001 00:00:00;"USD";"JPY";102,85;102,784;20/07/2001 00:00:00
258;20/07/2001 00:00:00;"USD";"MXN";9,35;9,345;20/07/2001 00:00:00
259;20/07/2001 00:00:00;"USD";"SAR";3,751;3,748;20/07/2001 00:00:00
260;20/07/2001 00:00:00;"USD";"VEB";638,5;638,43;20/07/2001 00:00:00
261;21/07/2001 00:00:00;"USD";"ARS";1,0;1,0;21/07/2001 00:00:00
262;21/07/2001 00:00:00;"USD";"AUD";1,581;1,582;21/07/2001 00:00:00
263;21/07/2001 00:00:00;"USD";"BRL";1,924;1,928;21/07/2001 00:00:00
264;21/07/2001 00:00:00;"USD";"CAD";1,48;1,487;21/07/2001 00:00:00
265;21/07/2001 00:00:00;"USD";"CNY";8,237;8,237;21/07/2001 00:00:00
266;21/07/2001 00:00:00;"USD";"DEM";1,951;1,951;21/07/2001 00:00:00
267;21/07/2001 00:00:00;"USD";"EUR";0,998;0,998;21/07/2001 00:00:00
268;21/07/2001 00:00:00;"USD";"FRF";6,543;6,543;21/07/2001 00:00:00
269;21/07/2001 00:00:00;"USD";"GBP";0,625;0,625;21/07/2001 00:00:00
270;21/07/2001 00:00:00;"USD";"JPY";102,705;102,803;21/07/2001 00:00:00
271;21/07/2001 00:00:00;"USD";"MXN";9,35;9,352;21/07/2001 00:00:00
272;21/07/2001 00:00:00;"USD";"SAR";3,751;3,753;21/07/2001 00:00:00
273;21/07/2001 00:00:00;"USD";"VEB";638,5;638,55;21/07/2001 00:00:00
274;22/07/2001 00:00:00;"USD";"ARS";1,0;1,0;22/07/2001 00:00:00
275;22/07/2001 00:00:00;"USD";"AUD";1,58;1,579;22/07/2001 00:00:00
276;22/07/2001 00:00:00;"USD";"BRL";1,924;1,918;22/07/2001 00:00:00
277;22/07/2001 00:00:00;"USD";"CAD";1,48;1,47;22/07/2001 00:00:00
278;22/07/2001 00:00:00;"USD";"CNY";8,237;8,237;22/07/2001 00:00:00
279;22/07/2001 00:00:00;"USD";"DEM";1,927;1,927;22/07/2001 00:00:00
280;22/07/2001 00:00:00;"USD";"EUR";0,985;0,985;22/07/2001 00:00:00
281;22/07/2001 00:00:00;"USD";"FRF";6,463;6,463;22/07/2001 00:00:00
282;22/07/2001 00:00:00;"USD";"GBP";0,621;0,62;22/07/2001 00:00:00
283;22/07/2001 00:00:00;"USD";"JPY";102,43;102,398;22/07/2001 00:00:00
284;22/07/2001 00:00:00;"USD";"MXN";9,35;9,344;22/07/2001 00:00:00
285;22/07/2001 00:00:00;"USD";"SAR";3,751;3,75;22/07/2001 00:00:00
286;22/07/2001 00:00:00;"USD";"VEB";638,5;638,46;22/07/2001 00:00:00
287;23/07/2001 00:00:00;"USD";"ARS";1,0;1,0;23/07/2001 00:00:00
288;23/07/2001 00:00:00;"USD";"AUD";1,574;1,574;23/07/2001 00:00:00
289;23/07/2001 00:00:00;"USD";"BRL";1,924;1,927;23/07/2001 00:00:00
290;23/07/2001 00:00:00;"USD";"CAD";1,475;1,479;23/07/2001 00:00:00
291;23/07/2001 00:00:00;"USD";"CNY";8,237;8,237;23/07/2001 00:00:00
292;23/07/2001 00:00:00;"USD";"DEM";1,913;1,914;23/07/2001 00:00:00
293;23/07/2001 00:00:00;"USD";"EUR";0,978;0,978;23/07/2001 00:00:00
294;23/07/2001 00:00:00;"USD";"FRF";6,415;6,415;23/07/2001 00:00:00
295;23/07/2001 00:00:00;"USD";"GBP";0,616;0,616;23/07/2001 00:00:00
296;23/07/2001 00:00:00;"USD";"JPY";102,8;102,849;23/07/2001 00:00:00
297;23/07/2001 00:00:00;"USD";"MXN";9,465;9,475;23/07/2001 00:00:00
298;23/07/2001 00:00:00;"USD";"SAR";3,751;3,758;23/07/2001 00:00:00
299;23/07/2001 00:00:00;"USD";"VEB";638,5;638,57;23/07/2001 00:00:00
300;24/07/2001 00:00:00;"USD";"ARS";1,0;0,999;24/07/2001 00:00:00
301;24/07/2001 00:00:00;"USD";"AUD";1,569;1,569;24/07/2001 00:00:00
302;24/07/2001 00:00:00;"USD";"BRL";1,866;1,865;24/07/2001 00:00:00
303;24/07/2001 00:00:00;"USD";"CAD";1,479;1,472;24/07/2001 00:00:00
304;24/07/2001 00:00:00;"USD";"CNY";8,237;8,237;24/07/2001 00:00:00
305;24/07/2001 00:00:00;"USD";"DEM";1,909;1,908;24/07/2001 00:00:00
306;24/07/2001 00:00:00;"USD";"EUR";0,976;0,975;24/07/2001 00:00:00
307;24/07/2001 00:00:00;"USD";"FRF";6,401;6,4;24/07/2001 00:00:00
308;24/07/2001 00:00:00;"USD";"GBP";0,615;0,614;24/07/2001 00:00:00
