"DatabaseLogID";"PostTime";"DatabaseUser";"Event";"Schema";"Object";"TSQL";"XmlEvent"
107;14/10/2005 01:59:07;"dbo";"ALTER_TABLE";"Sales";"Customer";"ALTER TABLE [Sales].[Customer] WITH CHECK ADD 
    CONSTRAINT [PK_Customer_CustomerID] PRIMARY KEY CLUSTERED 
    (
        [CustomerID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:07.383</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Sales</SchemaName><ObjectName>Customer</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Sales].[Customer] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Customer_CustomerID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [CustomerID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
108;14/10/2005 01:59:07;"dbo";"ALTER_TABLE";"Sales";"CustomerAddress";"ALTER TABLE [Sales].[CustomerAddress] WITH CHECK ADD 
    CONSTRAINT [PK_CustomerAddress_CustomerID_AddressID] PRIMARY KEY CLUSTERED 
    (
        [CustomerID],
        [AddressID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:07.490</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Sales</SchemaName><ObjectName>CustomerAddress</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Sales].[CustomerAddress] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_CustomerAddress_CustomerID_AddressID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [CustomerID],&#x0D;
        [AddressID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
109;14/10/2005 01:59:07;"dbo";"ALTER_TABLE";"dbo";"DatabaseLog";"ALTER TABLE [dbo].[DatabaseLog] WITH CHECK ADD 
    CONSTRAINT [PK_DatabaseLog_DatabaseLogID] PRIMARY KEY NONCLUSTERED 
    (
        [DatabaseLogID]
    )  ON [PRIMARY];
";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:07.570</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>DatabaseLog</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [dbo].[DatabaseLog] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_DatabaseLog_DatabaseLogID] PRIMARY KEY NONCLUSTERED &#x0D;
    (&#x0D;
        [DatabaseLogID]&#x0D;
    )  ON [PRIMARY];&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
110;14/10/2005 01:59:07;"dbo";"ALTER_TABLE";"HumanResources";"Department";"ALTER TABLE [HumanResources].[Department] WITH CHECK ADD 
    CONSTRAINT [PK_Department_DepartmentID] PRIMARY KEY CLUSTERED 
    (
        [DepartmentID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:07.680</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>HumanResources</SchemaName><ObjectName>Department</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [HumanResources].[Department] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Department_DepartmentID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [DepartmentID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
111;14/10/2005 01:59:07;"dbo";"ALTER_TABLE";"Production";"Document";"ALTER TABLE [Production].[Document] WITH CHECK ADD 
    CONSTRAINT [PK_Document_DocumentID] PRIMARY KEY CLUSTERED 
    (
        [DocumentID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:07.787</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>Document</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[Document] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Document_DocumentID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [DocumentID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
112;14/10/2005 01:59:07;"dbo";"ALTER_TABLE";"HumanResources";"Employee";"ALTER TABLE [HumanResources].[Employee] WITH CHECK ADD 
    CONSTRAINT [PK_Employee_EmployeeID] PRIMARY KEY CLUSTERED 
    (
        [EmployeeID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:07.897</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>HumanResources</SchemaName><ObjectName>Employee</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [HumanResources].[Employee] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Employee_EmployeeID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [EmployeeID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
113;14/10/2005 01:59:08;"dbo";"ALTER_TABLE";"HumanResources";"EmployeeAddress";"ALTER TABLE [HumanResources].[EmployeeAddress] WITH CHECK ADD 
    CONSTRAINT [PK_EmployeeAddress_EmployeeID_AddressID] PRIMARY KEY CLUSTERED 
    (
        [EmployeeID],
        [AddressID]
    ) ON [PRIMARY];
";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:08.007</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>HumanResources</SchemaName><ObjectName>EmployeeAddress</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [HumanResources].[EmployeeAddress] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_EmployeeAddress_EmployeeID_AddressID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [EmployeeID],&#x0D;
        [AddressID]&#x0D;
    ) ON [PRIMARY];&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
114;14/10/2005 01:59:08;"dbo";"ALTER_TABLE";"HumanResources";"EmployeeDepartmentHistory";"ALTER TABLE [HumanResources].[EmployeeDepartmentHistory] WITH CHECK ADD 
    CONSTRAINT [PK_EmployeeDepartmentHistory_EmployeeID_StartDate_DepartmentID] PRIMARY KEY CLUSTERED 
    (
        [EmployeeID],
        [StartDate],
        [DepartmentID],
        [ShiftID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:08.117</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>HumanResources</SchemaName><ObjectName>EmployeeDepartmentHistory</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [HumanResources].[EmployeeDepartmentHistory] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_EmployeeDepartmentHistory_EmployeeID_StartDate_DepartmentID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [EmployeeID],&#x0D;
        [StartDate],&#x0D;
        [DepartmentID],&#x0D;
        [ShiftID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
115;14/10/2005 01:59:08;"dbo";"ALTER_TABLE";"HumanResources";"EmployeePayHistory";"ALTER TABLE [HumanResources].[EmployeePayHistory] WITH CHECK ADD 
    CONSTRAINT [PK_EmployeePayHistory_EmployeeID_RateChangeDate] PRIMARY KEY CLUSTERED 
    (
        [EmployeeID],
        [RateChangeDate]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:08.227</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>HumanResources</SchemaName><ObjectName>EmployeePayHistory</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [HumanResources].[EmployeePayHistory] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_EmployeePayHistory_EmployeeID_RateChangeDate] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [EmployeeID],&#x0D;
        [RateChangeDate]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
116;14/10/2005 01:59:08;"dbo";"ALTER_TABLE";"Production";"Illustration";"ALTER TABLE [Production].[Illustration] WITH CHECK ADD 
    CONSTRAINT [PK_Illustration_IllustrationID] PRIMARY KEY CLUSTERED 
    (
        [IllustrationID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:08.337</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>Illustration</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[Illustration] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Illustration_IllustrationID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [IllustrationID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
117;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"Sales";"Individual";"ALTER TABLE [Sales].[Individual] WITH CHECK ADD 
    CONSTRAINT [PK_Individual_CustomerID] PRIMARY KEY CLUSTERED 
    (
        [CustomerID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.397</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Sales</SchemaName><ObjectName>Individual</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Sales].[Individual] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Individual_CustomerID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [CustomerID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
118;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"HumanResources";"JobCandidate";"ALTER TABLE [HumanResources].[JobCandidate] WITH CHECK ADD 
    CONSTRAINT [PK_JobCandidate_JobCandidateID] PRIMARY KEY CLUSTERED 
    (
        [JobCandidateID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.430</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>HumanResources</SchemaName><ObjectName>JobCandidate</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [HumanResources].[JobCandidate] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_JobCandidate_JobCandidateID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [JobCandidateID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
119;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"Production";"Location";"ALTER TABLE [Production].[Location] WITH CHECK ADD 
    CONSTRAINT [PK_Location_LocationID] PRIMARY KEY CLUSTERED 
    (
        [LocationID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.537</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>Location</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[Location] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Location_LocationID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [LocationID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
120;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"Production";"Product";"ALTER TABLE [Production].[Product] WITH CHECK ADD 
    CONSTRAINT [PK_Product_ProductID] PRIMARY KEY CLUSTERED 
    (
        [ProductID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.647</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>Product</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[Product] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_Product_ProductID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
121;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"Production";"ProductCategory";"ALTER TABLE [Production].[ProductCategory] WITH CHECK ADD 
    CONSTRAINT [PK_ProductCategory_ProductCategoryID] PRIMARY KEY CLUSTERED 
    (
        [ProductCategoryID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.757</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductCategory</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductCategory] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductCategory_ProductCategoryID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductCategoryID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
122;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"Production";"ProductCostHistory";"ALTER TABLE [Production].[ProductCostHistory] WITH CHECK ADD 
    CONSTRAINT [PK_ProductCostHistory_ProductID_StartDate] PRIMARY KEY CLUSTERED 
    (
        [ProductID],
        [StartDate]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.867</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductCostHistory</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductCostHistory] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductCostHistory_ProductID_StartDate] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductID],&#x0D;
        [StartDate]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
123;14/10/2005 01:59:09;"dbo";"ALTER_TABLE";"Production";"ProductDescription";"ALTER TABLE [Production].[ProductDescription] WITH CHECK ADD 
    CONSTRAINT [PK_ProductDescription_ProductDescriptionID] PRIMARY KEY CLUSTERED 
    (
        [ProductDescriptionID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:09.977</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductDescription</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductDescription] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductDescription_ProductDescriptionID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductDescriptionID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
124;14/10/2005 01:59:10;"dbo";"ALTER_TABLE";"Production";"ProductDocument";"ALTER TABLE [Production].[ProductDocument] WITH CHECK ADD 
    CONSTRAINT [PK_ProductDocument_ProductID_DocumentID] PRIMARY KEY CLUSTERED 
    (
        [ProductID],
        [DocumentID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:10.087</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductDocument</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductDocument] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductDocument_ProductID_DocumentID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductID],&#x0D;
        [DocumentID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
125;14/10/2005 01:59:10;"dbo";"ALTER_TABLE";"Production";"ProductInventory";"ALTER TABLE [Production].[ProductInventory] WITH CHECK ADD 
    CONSTRAINT [PK_ProductInventory_ProductID_LocationID] PRIMARY KEY CLUSTERED 
    (
    [ProductID],
    [LocationID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:10.193</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductInventory</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductInventory] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductInventory_ProductID_LocationID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
    [ProductID],&#x0D;
    [LocationID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
126;14/10/2005 01:59:10;"dbo";"ALTER_TABLE";"Production";"ProductListPriceHistory";"ALTER TABLE [Production].[ProductListPriceHistory] WITH CHECK ADD 
    CONSTRAINT [PK_ProductListPriceHistory_ProductID_StartDate] PRIMARY KEY CLUSTERED 
    (
        [ProductID],
        [StartDate]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:10.303</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductListPriceHistory</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductListPriceHistory] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductListPriceHistory_ProductID_StartDate] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductID],&#x0D;
        [StartDate]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
127;14/10/2005 01:59:10;"dbo";"ALTER_TABLE";"Production";"ProductModel";"ALTER TABLE [Production].[ProductModel] WITH CHECK ADD 
    CONSTRAINT [PK_ProductModel_ProductModelID] PRIMARY KEY CLUSTERED 
    (
        [ProductModelID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:10.413</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductModel</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductModel] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductModel_ProductModelID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductModelID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
128;14/10/2005 01:59:10;"dbo";"ALTER_TABLE";"Production";"ProductModelIllustration";"ALTER TABLE [Production].[ProductModelIllustration] WITH CHECK ADD 
    CONSTRAINT [PK_ProductModelIllustration_ProductModelID_IllustrationID] PRIMARY KEY CLUSTERED 
    (
        [ProductModelID],
        [IllustrationID]
    )  ON [PRIMARY];

";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:59:10.523</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>Production</SchemaName><ObjectName>ProductModelIllustration</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [Production].[ProductModelIllustration] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ProductModelIllustration_ProductModelID_IllustrationID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ProductModelID],&#x0D;
        [IllustrationID]&#x0D;
    )  ON [PRIMARY];
&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
